0	0.01429 -0.0425251 -0.00126286 0.0186323 0.16137 -0.246367 -0.041602 -0.136289 -0.0619186 -0.140305 -0.147752 -0.0269642 0.167771 -0.0106102 0.0441044 -0.287347 0.130736 -0.0596195 -0.213421 -0.0945348 0.327739 0.198011 0.266751 0.334588 0.322462 -0.0800813 0.00528865 0.15996 -0.226922 0.133598 -0.137327 -0.147324 0.291013 -0.239865 -0.0722663 -0.228367 0.143887 -0.121431 -0.0741877 0.0482934 0.173361 0.163204 0.0561503 0.119816 -0.0156307 0.100641 -0.0345805 0.144095 -0.071366 -0.0519201 -0.0347035 -0.0754874 0.0615083 0.180394 -0.184903 -0.0703715 0.00187825 0.0128387 -0.169216 0.0730565 -0.289696 -0.0553732 -0.131136 0.0808133 -0.138358 0.0778406 -0.045541 -0.00517113 0.0388445 -0.165925 0.221486 0.06755 -0.115614 0.33447 -0.161268 0.173085 -0.0866571 -0.274824 0.0552144 0.140731 -0.0109928 -0.0239142 0.0891467 -0.045023 -0.215202 -0.0509682 -0.00457144 -0.00296812 0.0559903 0.0140159 0.195445 -0.0616803 -0.328208 0.00583543 0.38854 -0.312859 -0.120983 0.0686532 0.199792 0.231066 0.267703 0.0109482 0.134647 -0.139529 -0.117509 0.149986 0.0887043 -0.0478821 0.032052 -0.250179 0.134831 0.00796185 -0.0302354 -0.168284 -0.0462577 0.120567 -0.160098 -0.0157548 0.21993 0.223438 0.0305165 -0.133549 0.288055 0.184244 -0.00143768 -0.0773544 0.0607456 0.10518
1	-0.0392632 0.151665 -0.0695046 -0.145194 -0.24436 0.100342 -0.179575 -0.175802 0.0902768 -0.179024 -0.0710923 -0.00143715 0.0583709 0.0426428 0.0638049 -0.0875928 -0.146948 0.0997818 0.0565594 -0.117347 0.231166 0.0521684 0.0313484 -0.206135 0.449221 0.093107 0.137998 -0.111498 -0.270094 -0.0853352 0.184287 -0.0858005 -0.114615 -0.00273966 -0.0705445 -0.151409 0.18085 -0.223421 -0.0421629 -0.0557344 0.0609272 0.101097 -0.164301 -0.0860267 -0.000718053 -0.270274 -0.1287 0.238223 -0.0841172 0.0186566 -0.141537 -0.233937 -0.062496 0.00489257 -0.148445 -0.42081 -0.107315 0.223349 -0.0925887 -0.0197569 -0.279648 -0.244269 -0.0445436 0.310452 0.150445 0.0982129 0.347107 -0.203788 0.0428889 -0.151674 -0.0544343 0.0999467 -0.0118346 0.265589 0.0964121 0.401861 0.0993489 -0.399398 -0.17909 0.0502701 -0.423014 0.0239679 0.0168652 -0.0853225 -0.113237 0.074769 -0.0194299 -0.661378 -0.0315392 0.295519 -0.204165 -0.204924 -0.134038 0.0149562 0.484811 0.0953887 -0.301681 -0.117453 0.435172 0.0986048 0.0651285 -0.180499 0.161803 0.0571675 -0.284256 -0.200777 0.222518 0.173422 0.250398 -0.307978 0.096097 0.0130871 -0.264764 0.00530655 -0.386716 -0.015133 -0.00513231 -0.00738448 -0.17224 0.148966 -0.349605 -0.129629 0.0813989 0.375528 -0.474752 0.0971695 0.137924 0.254888
2	-0.106117 0.200119 -0.0419572 -0.255597 -0.147061 -0.144234 -0.309009 0.260152 0.0642004 -0.0647875 -0.162187 0.0179657 0.296752 -0.0643693 -0.0635567 -0.131435 0.0154729 0.240199 0.123612 -0.142612 0.241638 0.156517 0.167449 0.161221 0.029372 -0.156456 -0.0660787 -0.0726255 0.0513707 -0.0688893 0.141199 0.0468966 0.388455 -0.0766873 0.0197255 -0.0497101 0.0318649 -0.305747 -0.349986 0.297178 0.0685099 0.33356 0.0847874 -0.268889 0.00406766 0.11929 0.239368 -0.0251049 -0.20498 0.0651548 0.0447547 -0.158264 0.342592 0.0552214 -0.0549042 -0.12201 -0.036488 0.112602 0.141992 0.0984608 -0.0174883 0.172417 -0.323362 0.175553 0.106687 0.170451 -0.178447 -0.0638934 -0.0391346 -0.0159407 0.332667 0.132264 -0.267317 0.367016 -0.0775928 0.0385693 -0.0540688 -0.0879406 -0.00484689 0.291125 -0.154646 0.19788 0.173557 0.0590119 -0.0473792 0.130549 -0.0789473 -0.298688 0.0455707 -0.00958306 0.227918 0.0500802 -0.106444 -0.0562895 0.0174435 -0.231385 -0.113685 -0.187498 -0.162811 -0.0198683 0.21505 -0.0592468 0.222894 -0.156319 0.158805 0.327093 -0.362216 0.0109067 0.203356 -0.250662 0.224333 0.142556 -0.0596092 -0.105175 0.0190177 0.235309 -0.0701403 -0.218668 0.289618 0.533452 0.0340253 -0.0857053 0.0591887 0.0391338 0.074991 -0.0599715 -0.0358539 -0.0946128
3	0.0160442 0.11594 0.237375 0.166774 0.214921 0.015435 0.0665412 -0.150888 -0.0853544 0.302211 -0.28859 0.0554685 0.265012 0.409279 0.0841365 0.178717 -0.251083 -0.0900429 0.350905 0.0307869 0.607547 0.363935 0.270385 0.166681 0.174748 0.0967289 0.111527 0.192465 0.0206826 0.0723191 -0.114207 -0.0588825 0.454786 -0.0700433 0.0474208 0.0151035 0.0160616 0.102503 -0.146065 0.120805 0.275143 0.0527499 0.14855 0.016495 -0.102786 -0.175989 0.165271 0.156571 0.112307 0.239458 0.142721 -0.299251 0.544149 0.316939 0.0901086 0.126995 -0.127683 -0.0688906 -0.123169 0.233653 0.0635319 0.161545 -0.0945313 0.19827 0.14752 -0.0954908 -0.124645 0.124879 0.451902 -0.241405 0.10685 -0.0154399 -0.0745621 0.301378 -0.182659 0.252017 0.0900241 -0.218968 0.209983 0.121242 -0.418846 0.101736 0.216137 0.23093 0.012109 0.121942 -0.0532351 -0.120742 -0.244468 0.225091 -0.195378 -0.262377 -0.0455037 0.244986 -0.139344 0.0269136 -0.116986 0.0779358 -0.167563 0.283872 0.00843366 -0.199725 -0.121047 -0.160631 0.249403 0.227695 -0.312422 0.217859 -0.046678 -0.207718 0.00117168 -0.306658 -0.268381 -0.044081 -0.296975 -0.00109435 0.232632 -0.125398 -0.277241 0.0670151 0.00470472 -0.253585 0.036288 0.133105 0.162908 -0.198727 0.247451 0.125975
4	-0.0144229 -0.124422 0.0883766 -0.205536 -0.219186 0.151308 -0.235659 0.081415 -0.14401 -0.0920907 -0.0205052 0.113378 0.199866 0.323948 0.183334 -0.191196 0.25251 0.163144 0.218554 -0.0299493 0.110149 0.148991 0.027305 0.130337 0.0069052 0.200393 0.0434699 0.249581 -0.200263 0.0287196 -0.208158 0.0618618 0.186916 -0.407868 -0.120386 0.226877 -0.0128746 -0.1521 -0.215466 0.175014 0.306665 -0.165253 0.0459608 -0.0231454 -0.297005 0.0805999 0.226921 0.263768 -0.0376197 0.133478 0.130188 -0.101169 -0.0867172 -0.0271918 -0.254657 -0.130562 0.0697052 -0.126 -0.117599 -0.267344 -0.0974166 -0.0167098 0.0727661 0.0373153 0.12959 0.216205 -0.0619725 -0.145162 0.189477 -0.255818 0.278751 -0.376122 0.0200701 0.259794 -0.143269 0.112593 -0.00318058 -0.368156 -0.0883261 0.124566 -0.197259 0.0124708 0.387927 -0.115193 -0.0927986 0.116703 -0.188761 -0.25257 -0.232935 0.119178 0.16292 -0.134267 -0.386946 0.11039 0.261684 0.0377342 -0.0300172 0.593851 0.209303 0.125786 0.160438 -0.412414 0.0336331 0.00894898 -0.151297 -0.111115 0.0223736 -0.0180012 0.187068 -0.368113 -0.0120337 -0.0219716 0.201355 -0.101626 0.0727944 -0.170385 -0.0849293 0.0764979 -0.0496222 0.239464 -0.103316 -0.100783 0.0426 0.148274 -0.0220219 0.0481406 0.157215 0.12327
5	-0.0501011 0.0402613 0.0723119 -0.182877 -0.0591936 -0.250483 -0.16985 -0.158205 -0.338094 -0.271854 -0.0678798 0.0834519 0.292745 0.0868071 0.0307252 -0.0865363 0.0693898 0.122399 -0.186076 -0.134569 0.263106 0.341841 0.0295414 0.191223 0.263566 -0.0732217 0.0436207 0.134904 -0.196759 -0.127361 0.126084 0.0189581 0.0713538 -0.224062 -0.314783 0.121328 0.107539 0.133407 -0.0927582 0.280973 0.173702 0.290252 0.0710861 0.0565632 0.0843542 0.0074313 -0.119426 0.248837 -0.277323 0.197231 0.0481001 -0.0916828 0.0591391 0.293954 -0.0467106 -0.402268 0.0212415 0.151388 0.0837889 0.26448 -0.0750196 0.272401 -0.0321265 0.0736116 0.217553 0.177204 -0.116194 0.0494883 -0.131791 -0.113388 0.0884708 -0.0525295 -0.12724 0.0316816 0.0670324 0.12328 -0.0690958 -0.00167207 -0.00352686 0.442617 -0.167039 0.258693 0.138063 -0.272061 0.130147 0.195773 -0.0293524 -0.365917 -0.144128 0.013268 0.242801 -0.0910334 0.172843 0.0411514 0.246455 -0.0987515 -0.287378 -0.241219 0.116104 0.146909 0.273847 -0.0345142 -0.108513 -0.199949 0.0896046 -0.0355735 0.294808 0.0476341 0.307956 -0.271316 0.0666588 -0.113505 0.0245076 -0.087817 0.0023851 -0.0210061 -0.13918 -0.0292625 0.0983586 0.264018 -0.149268 -0.242468 -0.0856116 0.126756 0.360105 -0.140149 0.109492 0.00309761
6	0.0380862 0.0277497 0.0562178 0.116126 -0.00141389 -0.146339 -0.21737 -0.122711 -0.199607 -0.137344 0.0307481 0.0991437 0.295374 -0.0261284 0.0905506 -0.113117 0.0538334 0.077218 -0.00694916 -0.224694 0.198034 -0.104769 0.145969 0.235327 0.206025 -0.0709095 0.0242163 -0.00257431 0.0979815 0.0527432 0.166141 -0.150578 0.306282 -0.115324 0.0145852 0.0267636 -0.0268213 -0.173225 -0.0918846 0.244777 0.0653478 0.210278 -0.072523 -0.200513 -0.0899755 -0.0917307 0.0779781 0.223189 -0.0380957 0.126969 0.225933 -0.448149 0.116106 0.160726 -0.208788 -0.178568 -0.0775153 -0.0194304 0.237356 0.398785 0.0776684 0.0217374 -0.0124054 0.339378 0.189056 -0.155625 -0.0941424 0.0947374 0.055997 -0.10624 0.320438 0.0930695 0.101158 0.379322 0.146572 -0.0191732 -0.0642551 -0.349137 0.087166 0.0647682 -0.180252 0.191464 0.208651 -0.02396 0.0193684 0.246658 -0.0578783 -0.0660305 -0.000273695 0.146404 0.201752 -0.133419 -0.189104 0.0650331 0.0335895 -0.0585859 -0.219417 0.0146084 0.332341 0.124894 0.0737639 -0.262171 0.0227072 -0.343093 0.0293165 0.129114 0.110037 0.253899 0.383808 -0.138431 0.112334 0.218237 0.0385678 -0.0287696 0.029745 0.284701 0.134922 -0.036749 0.135737 0.124408 -0.102872 -0.291498 0.110506 -0.0356828 0.0832567 -0.104243 -0.155262 0.110451
7	-0.204811 0.0254797 0.0676677 0.00215831 -0.221669 0.130308 -0.333537 -0.0296344 -0.154517 -0.0927714 -0.0313879 -0.072551 0.110543 -0.207192 -0.00206287 -0.0430227 -0.0859569 0.150372 0.108172 0.0542337 0.113657 0.236834 0.0689271 0.120297 0.199313 -0.0521605 0.207999 0.0736964 -0.16543 0.233869 0.00196676 -0.187915 0.227595 -0.0731271 0.0618668 -0.209811 -0.0699632 -0.158872 -0.202812 0.23174 0.100143 0.189473 0.216509 -0.0920552 -0.136811 0.172227 0.204884 0.182816 0.021435 0.107019 0.290014 -0.233882 -0.013331 0.216727 0.0799041 0.181855 0.18306 0.356151 -0.126831 0.0607063 -0.12853 0.1437 -0.0877275 0.280816 0.164326 -0.128349 -0.171185 -0.00761244 -0.13048 0.111403 -0.0282221 0.0426867 -0.264665 0.153036 -0.0505591 0.00011275 0.231584 -0.333442 -0.1693 0.0379534 -0.268709 0.137394 0.129897 0.146525 -0.0751485 0.329501 -0.206842 -0.243368 0.130652 0.0745387 0.0736655 -0.247167 -0.146643 0.205381 0.317184 -0.177708 -0.202192 -0.123566 0.13957 0.0129981 -0.218023 -0.134695 -0.254571 -0.376235 0.219676 -0.0785226 0.101332 -0.0768197 0.400846 -0.464183 -0.205057 -0.0469613 0.0237525 -0.0349445 0.0821962 -0.214033 -0.0142837 -0.044583 -0.0660767 -0.0702583 0.0819848 -0.109708 -0.0888345 -0.00240789 -0.0128605 -0.00597028 -0.111593 -0.072059
8	-0.04277 0.0456369 0.0521011 -0.0792182 -0.0992166 -0.216125 -0.137333 0.310524 0.10605 -0.206309 0.144497 0.141299 0.20084 0.143653 -0.0856131 -0.194245 -0.144541 0.315711 0.20282 -0.20966 0.279531 0.0973075 -0.0450838 0.0973469 -0.0915107 0.0372168 -0.200233 -0.0832738 -0.0419496 -0.109997 0.11693 0.179078 -0.0472401 -0.0772253 0.249183 -0.198384 0.537353 -0.223127 -0.168982 0.2107 0.0710501 0.189819 0.150465 -0.112107 -0.366148 0.190797 0.117941 0.33472 -0.0722787 0.181251 -0.126938 -0.0384672 0.323247 -0.0422064 -0.0506433 -0.124819 0.297775 0.278356 -0.187479 0.0763754 -0.038032 0.0466934 -0.0879974 0.132402 0.216717 0.259881 -0.417861 0.0716954 -0.0405189 -0.111061 0.170249 0.155411 -0.301545 0.257516 -0.12586 0.0660643 0.0768949 -0.205407 0.148834 0.161056 0.1183 0.0698213 0.0543327 -0.0871248 -0.291941 0.0971105 0.0647512 -0.363622 -0.0853916 -0.0187649 0.0464783 0.0894843 -0.112437 0.251488 0.458595 -0.0800061 -0.135955 -0.193998 -0.251648 -0.144256 0.0537822 -0.1997 0.223472 0.154326 -0.207061 0.0293274 -0.336859 -0.140849 0.166238 -0.190009 0.382859 0.0304554 -0.179595 -0.183723 -0.144031 0.159271 -0.058769 -0.135163 -0.00633931 0.48935 -0.246477 -0.130113 0.0726005 -0.00369428 0.0521078 0.0643078 0.302305 -0.00304625
9	-0.216642 0.107479 -0.0235438 -0.296145 -0.0233743 0.135435 -0.207909 0.00683973 0.263993 0.117845 0.0892877 0.272431 0.200189 0.086215 0.0452883 -0.225256 -0.275286 0.203509 -0.177278 -0.0600031 0.2228 -0.0156456 0.0853986 0.0713253 -0.217798 -0.0242199 0.100908 0.083291 -0.101647 -0.230277 0.22647 0.0106065 -0.166674 -0.250234 -0.0271578 -0.0797626 0.207102 0.0249746 0.0258924 0.516652 0.0666158 0.1039 0.375441 -0.197624 -0.27329 -0.418704 0.0891995 0.0144905 -0.354019 0.229014 0.452178 -0.233183 0.27876 0.238002 0.0682554 -0.342996 0.239442 0.0564202 0.0466615 0.105526 0.146044 0.0656527 -0.168985 -0.27219 0.338744 0.0411704 -0.500216 0.204519 0.19517 -0.0366051 0.183574 0.00749241 -0.00444178 0.304193 -0.176217 0.160858 0.04567 -0.00448549 0.363165 0.176756 0.142096 0.0638058 0.126484 0.202562 -0.227064 -0.0754353 -0.225273 -0.34485 -0.251068 0.0248709 0.044969 -0.0405386 0.130725 0.477927 0.326259 -0.117628 -0.00969855 -0.058985 0.131522 -0.208033 -0.0273638 -0.194108 0.0198573 -0.309338 0.0577078 0.263876 -0.285827 0.0630792 0.110727 -0.15535 -0.0166112 -0.292224 0.120553 -0.184476 0.145288 0.111311 0.255677 -0.263624 -0.212235 0.194116 -0.246489 -0.0328137 0.292788 -0.0490195 0.0887197 0.229556 0.363725 0.544576
