0	0.277659 -0.0262274 0.222251 -0.172726 0.0964053 -0.279529 -0.316456 0.251455 -0.284306 0.025188 -0.125465 -0.0931641 -0.236465 -0.299985 -0.313721 -0.208526 -0.239291 -0.162759 -0.0693036 -0.0513138 -0.0156698 0.16936 -0.0199114 0.225561 -0.0706528 -0.193979 -0.197529 -0.077786 0.110266 0.115465 -0.157539 -0.123901 0.137288 -0.00801691 -0.198037 -0.0723022 0.219065 -0.226239 0.00363084 0.116877 -0.11164 -0.30198 -0.0829821 0.0101056 0.0708494 -0.118166 0.046082 0.056299 -0.052968 -0.193842 0.188961 -0.0432404 0.00826674 0.184208 0.0901602 0.101035 0.0716092 -0.010709 -0.22279 -0.179439 -0.0530976 0.0999161 0.232404 -0.29692 0.155342 0.189031 -0.0482337 0.451052 0.251643 0.168915 0.103868 -0.104901 0.212781 -0.0591787 -0.144623 -0.0298544 -0.061292 -0.235524 0.133649 0.335914 -0.131009 0.179973 -0.244688 0.353964 -0.153292 -0.0956951 -0.200274 -0.314546 -0.0393891 0.157284 0.167871 0.0641037 0.191549 0.142531 -0.0869174 0.263907 0.311313 0.104153 -0.269845 0.0706748 0.138343 -0.0406096 0.190645 0.0683874 -0.0299844 -0.0588796 -0.03205 -0.181286 0.141672 -0.22094 -0.0491667 0.0875411 0.0736866 -0.0808148 0.00749693 -0.188479 -0.0444096 -0.229274 0.0504974 -0.0799465 0.425723 -0.179571 0.227779 0.157605 -0.184389 0.0939459 -0.0766162 -0.131611
1	0.0097469 0.156903 0.283129 0.163562 -0.265943 -0.50088 -0.743025 -0.151343 0.103389 0.0250947 -0.0259797 -0.121867 -0.161383 -0.032186 0.132593 -0.3279 -0.287433 0.213831 0.316149 -0.0626754 -0.187741 0.361529 -0.0977973 0.155798 -0.172982 -0.00812891 -0.0398643 0.0738594 0.273029 -0.137439 -0.0593484 -0.45103 0.163276 -0.0424169 -0.25972 0.0903291 0.184328 -0.0513617 -0.404309 -0.0242565 0.137445 -0.194818 -0.0817253 -0.065395 -0.0633343 -0.119745 0.0333113 -0.255133 -0.185152 0.0558022 -0.103659 0.0920095 0.174771 0.146288 -0.235486 0.163806 0.146577 0.0707008 -0.127786 0.00146481 -0.072875 -0.274322 0.0215331 -0.133198 0.0136415 0.206267 -0.0108484 0.122558 -0.0412227 0.426922 0.240429 -0.0544562 0.117413 -0.0388085 0.125622 0.135778 0.10436 0.216047 -0.0202009 -0.284252 -0.0517581 0.0376395 0.138765 -0.130743 0.0562773 0.160671 -0.344073 0.117498 -0.0869314 -0.0987558 -0.0353572 -0.428409 0.0901902 -0.23356 -0.0724101 -0.0292222 0.196782 0.0795644 -0.436284 0.206331 -0.353472 -0.452597 0.485007 0.133745 0.100708 0.447648 0.192493 0.0354653 -0.0874976 -0.286102 -0.383671 0.180432 0.136153 0.0401487 0.0045787 -0.0418098 -0.215722 0.0739097 -0.0722052 0.309457 -0.0906202 -0.192812 -0.118362 -0.22018 -0.20945 0.404455 -0.203548 -0.129572
2	0.0682189 0.117238 0.0532579 -0.267467 -0.198346 -0.0672062 -0.0236603 0.324613 -0.406977 0.100539 -0.0518892 0.138475 -0.243155 -0.0694287 -0.204177 0.184903 -0.00558859 -0.238609 0.157852 0.218146 0.0242743 0.305626 -0.0375775 0.216855 -0.0849946 -0.142009 0.0709158 0.11657 0.062403 -0.354834 0.151194 -0.251786 -0.0162699 0.386957 0.305321 0.235608 -0.11239 -0.299551 -0.47343 0.278923 -0.178157 -0.0373782 0.216203 0.0605925 0.275617 -0.269278 -0.135283 -0.269025 -0.534454 -0.113347 0.163358 0.0196733 0.0254719 -0.0507182 -0.162592 -0.203692 0.000676123 -0.0783735 -0.0990655 -0.328803 0.327294 -0.308 -0.013496 -0.487011 -0.0657297 0.155632 0.0519529 -0.186617 -0.0855998 0.376504 0.155767 -0.179951 0.0937576 0.452193 -0.144231 0.224705 -0.123668 -0.0277031 -0.0189797 0.244779 -0.2543 -0.233631 -0.174422 0.116667 -0.297319 0.226138 -0.162216 -0.177624 -0.270254 0.308831 -0.220254 -0.115798 -0.0196529 0.236845 0.0558509 -0.0288218 0.55004 0.156917 -0.289908 0.199597 -0.0348758 -0.109233 0.069842 0.0270454 0.135856 0.222414 -0.209939 -0.308974 0.0544808 -0.0427127 -0.0169905 0.125184 0.0705237 0.1984 -0.202733 0.22559 0.147826 -0.209153 0.0363369 -0.076259 -0.111987 -0.282293 -0.154044 0.132923 0.429929 0.310655 -0.0213962 -0.0667689
3	0.157139 -0.0976129 0.356484 -0.187756 -0.0891759 0.139785 -0.256427 0.357987 -0.118927 0.0730185 -0.209445 0.159273 -0.419973 -0.145491 0.243143 -0.277348 -0.302118 0.205326 -0.385557 -0.10665 -0.0815089 0.155946 -0.249102 -0.0630831 0.200188 -0.0390974 0.0341096 0.159487 0.235205 -0.0503972 -0.168386 -0.173841 0.649559 -0.172735 0.096663 -0.0260849 0.226078 0.10551 -0.353954 0.239441 0.0645163 0.0160173 0.100732 0.0280681 0.26637 -0.185694 -0.135879 -0.574816 -0.388012 0.0315524 0.39435 -0.0942685 -0.147753 0.151159 -0.0638395 0.118244 0.0961805 0.198296 0.0397803 0.131469 -0.181273 0.157132 0.286271 -0.087622 -0.0800246 0.0180437 0.15954 -0.0136277 0.154913 -0.217304 -0.20704 0.28646 -0.322482 -0.207211 -0.186513 0.509552 -0.0345583 0.0975554 0.00427987 0.390525 -0.153769 -0.164643 -0.397351 0.196856 0.380699 0.248808 0.0632849 -0.171514 -0.379459 -0.0702263 -0.0950713 -0.277307 -0.0294384 0.090709 0.00237749 -0.0855457 -0.207842 0.0780695 -0.310884 0.12462 -0.00884308 0.0258279 0.165143 0.28829 0.167806 0.0189613 0.0254456 -0.312266 -0.127833 -0.00531333 -0.208731 -0.0821298 0.183977 -0.263589 -0.237501 0.457835 -0.0969089 -0.122368 -0.319378 -0.148033 -0.152798 -0.270251 -0.151964 -0.106687 -0.108819 0.469479 -0.151912 0.253865
4	0.111357 -0.0166892 -0.114175 -0.134582 -0.0393512 -0.0737508 -0.191715 0.329307 -0.194676 -0.0298642 -0.0496724 0.273177 -0.0888288 -0.316762 -0.337075 -0.25843 0.162202 0.0763932 0.160798 0.0830885 0.222941 0.18746 0.0429536 0.0595475 -0.0974444 -0.367011 -0.0342125 0.0910958 0.20576 -0.210987 -0.0983699 -0.186204 0.16776 -0.0657854 0.0337682 0.0799638 0.130821 -0.207418 -0.348879 0.192068 -0.0397084 -0.23639 -0.107412 -0.0672844 0.189212 0.0158786 0.223115 -0.215179 -0.0966019 -0.222386 0.379878 -0.0715663 -0.166196 0.301216 -0.0952534 0.137052 0.033461 -0.0214559 -0.274696 0.0078017 0.0575578 -0.0387103 0.190639 -0.236979 0.1359 0.1766 0.155925 0.281268 0.199928 0.566955 0.32017 -0.147828 0.198888 -0.0980661 -0.114485 -0.00507384 0.0565767 -0.15904 0.0012261 0.303562 -0.0933318 0.18433 -0.140835 0.063048 -0.208327 0.00392483 -0.0184583 -0.104591 -0.179812 -0.0415033 -0.0108458 0.00761158 -0.177734 0.0976878 0.148881 0.134281 0.167325 0.385619 -0.34425 0.123804 0.161471 -0.240997 0.127957 0.139097 -0.0180044 -0.128324 0.139806 -0.241408 0.198227 -0.121843 0.0397261 0.280416 0.0192357 -0.199437 0.13813 -0.137878 -0.178847 0.0702762 -0.11117 -0.167635 0.168904 -0.137436 -0.0273799 -0.145663 -0.0268658 0.174114 -0.338619 -0.144811
5	0.198306 0.032799 0.118573 0.0341834 -0.229051 -0.18408 -0.166256 0.0996789 -0.0621801 0.0927301 -0.0972773 0.111384 0.0144228 0.309154 -0.15751 -0.0286912 -0.0818246 0.195535 0.0463525 0.189883 0.264151 0.252999 0.192478 0.23473 -0.118216 -0.270025 -0.0522943 -0.0975278 -0.0223688 0.134714 0.206903 -0.174449 0.156991 0.239443 0.0393431 0.0125819 0.0580677 -0.336221 -0.0758896 0.203633 -0.00125891 -0.176282 -0.164463 -0.0339966 0.527701 -0.398036 0.0982076 -0.20559 -0.29514 -0.186686 0.0843589 -0.339693 -0.0653309 0.22521 -0.0995443 -0.187806 0.245972 -0.231528 -0.0293368 0.0429253 -0.301717 0.145272 -0.145556 -0.132838 0.0445933 0.341987 0.200477 0.309607 0.24076 -0.211275 -0.0207921 -0.398932 0.160567 -0.144351 0.172474 0.117917 0.133858 -0.259412 0.448675 0.343453 -0.278997 0.257243 -0.0279548 0.140599 -0.00884395 -0.0775681 -0.230284 -0.0626024 -0.330468 -0.144095 0.33055 -0.0300443 -0.137133 -0.0882629 0.205675 -0.13727 0.484366 -0.300973 -0.322439 0.142658 0.159586 -0.075164 0.0287989 0.229969 0.236772 -0.0460535 0.0346511 -0.181754 0.118014 -0.221403 -0.0245537 0.0778321 -0.0593281 0.00346398 0.112915 -0.128973 -0.0637973 -0.207129 -0.029442 -0.178863 0.0437319 -0.206595 0.1019 -0.423357 -0.0834434 0.277087 -0.31427 0.306049
6	0.13471 -0.0609489 0.103124 0.0737918 -0.108151 0.096087 -0.0327191 0.302784 -0.499554 0.114582 -0.0804736 0.151805 -0.0226242 0.0263906 0.00226902 -0.220202 -0.0861127 0.16432 -0.0669214 0.21021 0.250886 0.10921 0.240392 0.0531862 0.0779159 -0.112464 0.189573 -0.191336 -0.0348744 0.311617 -0.0457765 -0.544203 0.092073 0.286773 -0.31795 0.173444 0.303642 -0.0425929 -0.126708 0.38239 -0.220879 -0.0790895 -0.332066 -0.400289 0.0807602 0.0621287 -0.193698 -0.132536 -0.0812005 0.298954 0.260144 0.162336 0.390471 0.181491 0.116375 0.128535 0.320795 -0.0578286 0.0837984 0.105734 0.090799 -0.273774 -0.157582 -0.251862 -0.118343 0.19001 0.0672396 0.217993 0.0317204 0.318372 -0.097788 -0.03452 0.123173 -0.286684 -0.0389886 0.128288 0.207592 0.140407 0.182701 0.375433 -0.216172 0.166298 -0.202979 0.239281 -0.149516 0.123748 -0.259245 -0.00953253 -0.35237 0.323568 -0.302963 -0.125825 0.0797136 -0.0102988 -0.129555 -0.0303103 0.246181 0.210242 -0.181864 0.30598 0.091779 -0.367456 0.0676229 0.0884291 0.00631418 0.0840262 0.206705 -0.3588 -0.0065714 0.109567 0.25786 0.349568 -0.0340424 0.0536653 -0.256043 0.030341 0.362482 -0.29002 -0.0138981 -0.00747451 0.138674 0.0615448 0.00236768 0.0330282 0.0742123 0.37527 -0.168359 -0.0441867
7	0.0281567 0.0977601 0.207313 -0.17131 0.0391029 -0.08934 0.0338276 -0.046721 -0.177033 0.0956807 -0.318577 0.0981695 0.162169 0.431138 0.143095 -0.121544 -0.491744 0.217091 -0.0922221 0.230087 -0.0606961 0.156322 0.0095002 -0.15535 -0.273631 -0.695494 0.418679 0.146914 0.256934 -0.11387 0.264739 -0.440656 -0.0550717 0.258633 0.191442 -0.273008 0.0328391 -0.281457 -0.0191169 0.178838 0.0322343 -0.115506 0.0400921 0.00864615 0.109469 -0.292782 0.342811 -0.351453 -0.0187172 -0.223835 0.2186 -0.2589 0.0530493 -0.0555678 0.0403172 0.243124 0.0764004 -0.0307496 0.0525097 -0.208784 -0.378868 0.0716919 0.129121 -0.160484 0.300789 0.127178 -0.0165969 0.0342932 0.160335 0.14046 0.0639275 0.176096 0.120035 -0.179469 -0.107832 0.22817 -0.0380415 0.0419469 0.234914 0.285525 0.0801948 0.0843475 -0.113528 0.320728 -0.0166837 0.0357574 -0.248913 -0.216391 -0.167244 0.365045 0.0115012 -0.0609034 -0.0208378 0.182149 0.0501639 0.217252 0.181016 0.29898 -0.391032 0.300596 0.0344748 0.108282 0.0667508 -0.195053 0.155268 0.00421489 -0.0129991 -0.270511 0.127951 -0.0676382 -0.272827 0.369689 0.0335066 -0.159319 -0.104526 0.0582678 0.187767 -0.0180876 0.137869 -0.212346 0.145393 0.0183638 -0.0761604 -0.40911 -0.0428749 0.111471 -0.0022993 0.0916084
8	0.263219 -0.0803076 -0.0679366 -0.371244 -0.236433 -0.384891 -0.379238 0.254077 -0.127754 -0.0733587 0.08759 0.274337 -0.0291225 0.0438496 -0.541276 -0.116303 -0.0753953 0.328371 0.174756 0.0471181 0.0609031 0.0186753 0.107284 0.428923 0.0149919 -0.524372 -0.248435 -0.560545 -0.230181 -0.186969 0.074511 -0.167475 -0.142427 -0.0161686 -0.0223419 0.299242 0.257283 -0.389756 -0.213506 0.0452807 -0.362508 0.0587388 0.333372 -0.488639 -0.253848 -0.49003 -0.0393291 0.0280838 -0.00341042 0.296238 0.225701 0.10504 -0.00208478 0.0585051 0.166959 0.264412 0.282531 -0.311037 0.261099 0.00167974 0.355564 -0.464166 -0.10609 -0.163047 0.125589 0.187044 -0.0188783 0.166517 0.304759 -0.0905686 0.0399831 0.126334 -0.261647 -0.219715 -0.0431448 0.174422 0.261576 -0.141933 -0.226461 0.0303481 -0.0229801 0.278787 -0.0139139 0.155357 0.227487 -0.0260292 -0.0105352 0.128529 -0.525918 0.156895 -0.0638195 -0.114735 0.116773 0.334219 0.0153252 0.0575127 0.124776 -0.123718 -0.356506 0.0598069 0.233905 0.339482 0.459416 0.223953 -0.171423 -0.0942354 -0.279833 -0.278838 0.323381 0.0273345 -0.339649 0.160664 -0.415744 -0.234422 -0.00235371 0.0859041 0.0543453 -0.237247 0.143201 -0.116928 0.319101 -0.0924745 -0.225604 -0.593582 -0.116718 0.124972 0.0251378 -0.365155
9	0.0887472 -0.0318871 0.147298 0.0424608 0.040241 0.181717 -0.0951845 0.151886 -0.114442 -0.169974 -0.347571 0.133107 -0.00394845 -0.0852344 -0.0859955 0.0215115 -0.208156 0.243353 -0.319316 0.214859 0.379841 0.266564 -0.153981 0.140415 -0.119563 -0.0787561 0.0591853 -0.0651347 0.102903 -0.16593 0.134438 0.00347992 0.0918193 -0.199532 0.20462 0.190546 0.463384 -0.0945262 -0.127235 0.418577 -0.0753262 -0.14839 0.225217 0.0591972 0.173536 -0.393917 -0.0380214 -0.401906 0.0584804 0.155224 0.241534 -0.0260538 -0.211261 0.307402 0.132264 -0.0714469 0.220238 -0.231104 -0.233977 -0.0837871 0.250726 -0.461918 -0.0435537 -0.0307404 0.30689 0.0270596 -0.037735 0.265069 0.221551 0.124324 0.199963 0.0584518 -0.0115018 -0.409836 -0.271083 0.255334 0.229587 0.073373 0.0181647 0.311967 0.199273 0.124511 0.216325 0.47477 0.0384 -0.00478934 -0.392492 -0.198638 -0.504599 -0.226766 0.0712409 -0.0473757 0.171011 0.40744 0.0738186 -0.0434867 -0.408843 0.249865 -0.332291 -0.261634 0.167477 -0.155183 0.376816 -0.10876 0.195005 -0.0910713 -0.23264 0.0285912 0.181813 -0.0911706 -0.310836 0.345125 0.000900793 -0.300476 -0.191087 0.182428 0.0322344 -0.246664 -0.169182 -0.165823 -0.0966932 -0.243884 -0.0186799 -0.242688 -0.0669931 0.265384 -0.447022 0.307741
