0	0.295477 -0.119683 0.166514 -0.198086 0.0611704 -0.261434 -0.219631 0.0865072 -0.282355 0.0272106 -0.0798823 -0.31954 -0.060745 -0.183958 -0.280261 -0.346622 -0.184724 -0.307894 -0.116987 -0.119984 0.034992 0.0961994 -0.00432335 0.240597 -0.020963 -0.114064 -0.086783 0.0116127 -0.0205319 0.0470202 -0.104908 -0.218764 0.249232 -0.0122668 -0.19717 -0.190109 0.00534133 -0.136317 -0.156185 0.182555 -0.0968448 -0.214055 0.0626049 -0.0769883 0.0338193 -0.144725 -0.0361691 -0.150617 -0.195902 -0.00465108 0.251322 -0.156725 -0.221609 0.212908 0.0797163 -0.058451 -0.0520928 0.0378314 -0.204239 -0.191761 -0.228328 0.0438373 -0.0500649 -0.206787 0.0985775 0.184142 -0.0473881 0.367962 0.1348 0.112861 -0.0845658 -0.14832 0.159469 -0.0726474 -0.189756 0.0134834 -0.160063 0.102478 0.04977 0.399082 0.00772472 0.171164 -0.31908 0.222382 0.0492994 -0.0713728 -0.193863 -0.326122 -0.198181 0.154272 0.131135 0.0443221 0.063775 0.00424884 -0.108798 0.174567 0.23452 0.0277232 -0.281912 0.147279 -0.0689068 -0.151036 0.13248 -0.0157933 -0.107692 -0.0959682 0.0036309 -0.277105 0.0528962 -0.170042 -0.244444 0.023113 0.0411205 -0.142991 -0.0473348 -0.212274 -0.0853061 -0.055101 -0.122391 -0.046 0.320795 -0.240758 0.217401 0.18561 -0.176816 0.208201 -0.145664 -0.100082
1	0.148701 0.0619976 0.0754774 0.115623 -0.295404 -0.246583 -0.828581 0.137309 -0.216969 -0.242041 -0.123807 -0.0286793 -0.0184288 -0.141441 0.187972 -0.258893 -0.161811 0.0758717 0.372481 0.0833413 -0.124951 0.321812 -0.182269 0.0376081 -0.14074 0.226685 -0.0162471 0.0679612 0.207936 -0.0915472 -0.13762 -0.291107 0.114353 0.078326 -0.332115 0.169285 0.08489 0.0330584 -0.188837 -0.0448863 0.151053 -0.0947273 0.0397072 -0.120819 0.0753785 -0.306409 -0.0105965 -0.303615 -0.156346 -0.010209 0.177526 0.03348 0.238468 -0.0591764 -0.107053 -0.0178125 -0.0322939 0.0654096 -0.137266 -0.0780741 0.104357 -0.0986362 -0.157045 -0.112796 0.046027 0.20625 0.03683 0.112546 0.0848009 0.378393 0.0241858 -0.115691 0.103585 -0.0408287 0.317435 0.013696 -0.0602957 0.146221 0.0654894 -0.12634 0.0637874 0.216484 -0.12426 -0.225101 -0.00700855 -0.0439193 -0.217282 0.0464597 -0.174117 -0.157443 0.026043 -0.430862 0.0758966 -0.17224 -0.0915148 -0.0803102 0.200809 0.123718 -0.366786 0.0882548 -0.335189 -0.269385 0.372888 0.169978 0.098442 0.214846 0.186589 -0.224206 0.0454065 -0.185606 -0.35393 0.286148 -0.0192907 0.120734 -0.0173558 0.0657144 -0.107545 0.159106 0.0468917 0.236255 0.0501851 -0.291644 -0.123347 -0.00929226 -0.176338 0.254878 -0.0565157 -0.199367
2	0.0555579 0.0971659 0.00133549 -0.355535 -0.0769966 -0.124364 -0.204414 0.291217 -0.214494 0.00481833 0.0443362 -0.0155559 -0.442213 0.0697235 -0.175721 0.0307113 -0.0509983 -0.166957 0.107132 0.220325 -0.0883755 0.342557 -0.132808 0.442918 -0.0174009 -0.0710246 0.0318462 0.207014 0.133909 -0.216753 -0.043997 -0.268752 -0.0205484 0.192076 0.368715 0.0648753 0.222707 -0.369113 -0.359445 0.217054 -0.116471 -0.0135358 0.267306 -0.121898 0.0697077 -0.244555 -0.0617447 -0.313073 -0.386208 -0.24397 0.331365 0.0811961 -0.052042 -0.0309095 0.0152559 -0.18243 0.103216 -0.169767 -0.170132 -0.104581 0.0856549 -0.135499 -0.0670723 -0.500619 0.00872465 0.146877 -0.124023 0.144641 -0.207307 0.263857 0.15329 0.0550308 0.135236 0.626652 -0.113268 0.172842 -0.0703051 0.168752 0.00153304 0.166181 -0.0713446 -0.110493 -0.0888267 0.16169 -0.179761 0.202406 -0.0699279 -0.242506 -0.356889 0.0601524 -0.217157 -0.223936 0.000366931 0.292707 0.129169 -0.0541327 0.456223 0.227986 -0.19515 -0.0790084 0.0360843 -0.156886 0.179127 -0.00291498 0.139496 0.232522 -0.227484 -0.416971 0.224019 0.00722326 0.130887 0.264328 -0.022098 -0.0505238 -0.195677 0.0647911 -0.0632956 -0.0769211 -0.120609 -0.0492591 0.057286 -0.206 -0.159367 0.0323238 0.235057 0.203277 -0.0708749 -0.0716579
3	0.0503204 -0.174908 0.344443 -0.326172 -0.265536 0.0363829 -0.285759 0.199001 -0.147536 -0.134029 -0.153654 0.148055 -0.400226 -0.0933399 -0.065911 -0.248967 -0.177982 0.0844176 -0.0303543 0.121658 -0.0905419 0.3094 -0.239301 0.00286783 0.441461 -0.235469 0.122148 0.167386 0.401651 0.12914 -0.208608 -0.0745196 0.297408 0.0587944 -0.128449 0.0897902 0.1651 0.129862 -0.124549 0.153766 0.137259 0.0409127 0.0472795 -0.0920158 0.323746 0.147232 -0.0393987 -0.391745 -0.196288 0.0682668 0.309062 -0.0977685 0.00379574 0.0105825 -0.0583365 0.014657 0.0637876 -0.0985547 -0.172262 0.0715752 -0.0977614 0.0581992 0.221631 -0.0924363 -0.029064 0.456678 0.202316 0.277461 -0.138673 -0.722542 -0.231803 0.210255 0.0304435 0.0309029 -0.270528 0.371348 0.15379 0.106565 -0.00307638 0.0578869 -0.100718 -0.229789 -0.269243 0.178158 0.177385 0.139299 0.114888 -0.107688 -0.502937 -0.120395 -0.0977176 -0.192958 -0.12841 -0.0197181 -0.00554377 -0.013757 -0.150131 -0.0580549 -0.519154 0.129691 -0.00397172 -0.0519149 0.0481617 0.0535887 0.0918977 -0.213873 -0.0720604 -0.208676 -0.14172 -0.244147 -0.235048 -0.165385 -0.0363016 -0.0223094 -0.12734 0.499046 -0.027078 -0.00291505 -0.021713 -0.179472 -0.0504229 -0.367843 -0.225937 -0.241583 -0.105907 0.270596 -0.169066 0.294856
4	0.0902868 0.0264501 0.18444 -0.153882 -0.126799 -0.14177 -0.100782 0.243604 -0.2082 -0.0077482 0.0342579 0.0395932 0.00328719 -0.188411 -0.267294 -0.110405 0.220586 -0.141644 0.0963649 0.099999 0.261116 0.238651 0.0789924 0.043173 0.0471253 -0.18431 0.119546 0.0969211 0.191934 -0.050038 -0.106895 -0.183417 0.229138 0.0123181 -0.0491178 0.0393546 0.1664 -0.0115563 -0.323192 0.178899 -0.129726 -0.152434 -0.260621 -0.0325311 0.151376 0.0670213 -0.0131361 -0.171014 -0.337495 -0.079181 0.456488 -0.0313371 -0.151299 0.157322 -0.00929599 -0.00351903 -0.109766 0.0297356 -0.218462 0.00193347 -0.0871124 -0.176905 -0.00462904 -0.253739 0.158791 0.39854 0.161194 0.313337 0.0185981 0.389473 0.181529 -0.0877989 0.224182 -0.0363031 -0.175003 0.0607082 -0.00432065 0.0731113 0.130947 0.186003 0.130355 0.104006 -0.290014 0.0943996 -0.0424176 0.0290196 -0.0851594 -0.250416 -0.190031 -0.0850162 0.102076 -0.22576 -0.139347 0.120561 -0.00147317 0.0980504 0.23576 0.181523 -0.41181 0.151822 -0.122016 -0.190086 0.0449705 0.0435233 0.0330973 -0.0589972 0.116783 -0.176085 0.117072 -0.0482626 -0.130477 0.237608 -0.146016 -0.075297 0.0748919 -0.248962 -0.0553897 0.0429515 -0.189943 0.0533266 0.0710576 -0.274925 0.0023373 0.096588 -0.0501142 0.145638 -0.341542 -0.0627763
5	0.145675 -0.0369601 0.205848 -0.040007 -0.335034 -0.107907 -0.00994859 0.0291509 -0.0250191 0.0416792 -0.151648 -0.0862387 0.0759385 0.369668 -0.1292 -0.213305 -0.349645 0.00783266 0.142042 0.0546866 0.351496 0.0831191 0.0383978 0.233241 -0.0931724 -0.122841 -0.189505 0.121206 0.169503 -0.0499414 0.176395 -0.274262 0.216571 0.041538 0.0203838 0.0133782 0.121761 -0.321782 0.0573588 0.188787 0.038599 -0.0104925 -0.223027 -0.0640147 0.225432 -0.201034 0.040397 -0.25994 -0.265751 -0.126615 0.205866 -0.259867 -0.160746 0.110914 -0.162057 -0.211716 0.257199 -0.0815295 -0.135264 -0.135958 -0.25654 0.215595 -0.0548412 -0.0134995 0.129098 0.470178 0.115868 0.448297 0.0784889 0.0696276 -0.00859387 -0.264832 0.0907261 -0.0443341 0.0865234 -0.0259513 0.012403 -0.0705345 0.27585 0.214859 -0.0985442 0.180179 -0.0955601 0.190343 0.0864513 0.00837992 -0.186628 -0.0536878 -0.178221 0.0273191 0.0732277 -0.0216494 0.0280802 -0.0984201 0.183241 -0.158191 0.419148 -0.0745397 -0.193061 0.267626 -0.137411 0.0980722 0.272702 -0.0175306 0.174094 0.0174769 0.055222 -0.190172 -0.00402116 -0.364019 -0.215157 0.22298 -0.0677019 0.10688 0.0154695 -0.0931026 -0.131296 -0.0126349 -0.0153493 -0.0816166 0.132384 -0.28463 -0.0931511 -0.157213 -0.0544572 0.104256 -0.236431 0.270547
6	0.234926 -0.00624989 0.143749 -0.271798 -0.0976396 -0.124294 -0.0822688 0.245274 -0.217779 0.0168367 0.0905143 0.112427 -0.264336 0.0388236 -0.0785103 -0.0456316 -0.286261 -0.064341 -0.0047377 0.294018 0.104203 0.126712 0.0137269 0.229079 0.0364624 -0.107402 0.170458 0.0682234 0.00573249 0.190523 0.116639 -0.395374 0.0959963 0.187655 -0.207162 0.111543 0.263697 -0.0506469 -0.0982907 0.106619 -0.0573208 0.0549069 -0.204976 -0.399178 0.211562 -0.0584972 -0.06552 -0.137528 -0.180631 0.121302 0.167325 0.0369224 0.257701 0.103383 0.0213919 -0.129296 0.428299 0.0118137 -0.0811737 0.0861719 -0.104266 -0.183973 -0.188243 -0.264512 -0.182841 0.183293 0.133382 0.181482 0.0282241 0.51034 -0.184837 0.0414095 0.00907879 -0.173266 -0.164132 0.250017 0.155947 0.0961377 0.0289605 0.391543 -0.141454 0.217036 -0.178242 0.187173 0.121992 0.0685265 0.0306759 -0.0482782 -0.307254 0.110618 -0.354572 -0.151154 0.0354124 -0.0589802 -0.117124 -0.0676785 0.231735 0.106397 -0.206571 0.243366 0.102633 -0.139966 0.303617 0.0852803 -0.151823 0.0857022 0.0341276 -0.228241 0.0326331 0.142362 0.00480163 0.112975 0.0162122 -0.0051998 -0.119467 -0.0156169 0.16413 -0.277895 -0.0946796 -0.0633531 0.302691 0.187652 -0.173894 0.132067 -3.56882e-05 0.347395 -0.354872 0.0754028
7	-0.0311876 0.0996408 0.16884 -0.132299 0.00831086 -0.197546 -0.175236 0.106666 -0.122778 0.13387 -0.200276 -0.0336386 0.0231781 0.156879 -0.0494836 -0.0953416 -0.322297 0.202427 0.101352 0.2128 0.051638 0.321317 -0.122011 0.0747743 -0.104375 -0.426525 0.227828 0.108633 0.307331 -0.0925736 0.16938 -0.369666 -0.0492978 0.0701695 -0.0559616 -0.18271 0.199642 -0.236707 0.0070925 0.149217 -0.107697 0.00948247 -0.00188325 -0.0864939 0.0983183 -0.209615 0.148844 -0.270552 0.0229724 -0.177358 0.212602 -0.244862 -0.0973221 -0.00447532 0.00763616 -0.0721571 0.0210357 0.06568 0.150581 -0.0573676 -0.292995 0.142317 0.0986228 -0.00776959 0.213599 0.340785 -0.109498 0.0268 0.104875 0.080436 -0.0222025 0.17079 0.246408 -0.0678619 -0.0247599 0.0481013 0.122663 0.155848 0.147659 0.304588 0.160188 0.0305613 -0.0573789 0.208692 -0.184132 0.0840938 -0.186109 -0.16392 -0.204041 0.135899 -0.16311 -0.158663 0.05895 0.0422481 0.0152846 -0.0592411 0.252318 0.130305 -0.439558 0.166986 -0.124888 0.139532 -0.0337289 -0.209765 -0.00905854 -0.0111308 0.0360213 -0.271081 -0.0159406 -0.218073 -0.262348 0.347068 -0.106706 -0.063486 -0.146401 -0.00715229 0.0540969 -0.0523491 0.0346993 -0.129777 0.18939 -0.0371804 -0.288495 -0.0277762 0.0642806 0.102663 0.0266075 0.0112674
8	0.0841524 0.122339 0.257583 -0.28979 -0.262968 -0.206984 -0.098396 0.143785 -0.0625965 0.0235879 0.0080022 0.15471 0.0369552 0.0564324 -0.234645 -0.230598 -0.541703 -0.0198877 0.00662005 0.0226623 0.205306 0.0953447 0.144445 0.280257 -0.139528 -0.322103 0.0430971 -0.191402 0.0594004 -0.123088 -0.0408888 -0.189892 -0.142591 -0.0501478 -0.020147 0.13579 0.0534666 -0.257873 -0.0235184 0.0552647 -0.181736 -0.0236784 0.384775 -0.364021 -0.146718 -0.204331 -0.10607 -0.149192 -0.253504 0.116493 0.224723 -0.107213 -0.0285462 0.0376607 0.169906 0.04673 0.10744 -0.029124 -0.0793151 -0.0823642 0.11083 -0.354271 0.0379726 -0.184967 -0.165581 0.103344 -0.0391266 0.0956876 0.136986 0.171564 0.051465 0.131781 -0.0950315 -0.197723 -0.0927993 0.21271 0.156897 0.0794204 0.100741 0.145911 0.109035 0.0372379 -0.239301 0.059317 0.149259 -0.0303089 -0.202339 -0.0604852 -0.34923 -0.044691 0.103186 0.050434 0.0313771 0.172829 -0.0966306 -0.068952 0.128133 0.134824 -0.386728 0.169267 -0.0779692 0.118949 0.454809 0.15652 0.00827727 -0.0647592 -0.20539 -0.212009 0.363186 0.0702478 -0.293027 0.0628027 -0.0881357 -0.0189769 -0.145102 -0.0403324 -0.0395423 -0.0428956 0.143251 -0.163521 0.000499272 -0.235594 -0.0656188 -0.297321 0.0115433 0.333706 -0.123205 0.104186
9	0.0868987 -0.177226 0.284451 -0.0761657 -0.156103 -0.0722368 0.0326477 0.132838 -0.0523555 -0.0630548 -0.178835 0.14074 -0.0406912 -0.113271 -0.0101186 -0.0421244 -0.222779 0.127877 -0.18808 0.114811 0.155681 0.237889 0.114594 0.0421615 0.0782765 -0.115241 0.135572 -0.030316 0.325233 -0.116688 -0.12542 -0.000773731 0.0323538 0.00096878 0.17516 0.00766008 0.263115 -0.17906 -0.0453705 0.39235 -0.0798976 -0.0889079 0.0893888 -0.0303523 0.197502 -0.268736 0.0312871 -0.334775 -0.081346 0.0426762 0.31586 -0.0624682 -0.0654419 0.220213 -0.0648992 -0.0870603 0.103456 -0.237589 -0.185864 0.00748226 0.109931 -0.29899 -0.0816824 0.050532 0.257548 0.243188 0.00980469 0.0648805 -0.078533 -0.0171367 0.167783 0.14855 0.123066 -0.320929 -0.231233 0.223605 0.151456 0.109972 0.17981 0.327114 0.292918 -0.0272743 -0.136568 0.375794 0.0448875 0.095279 -0.169147 -0.169331 -0.79334 -0.0821454 -0.140163 -0.0740292 0.11845 0.178701 -0.0786747 0.0117811 -0.284765 0.21082 -0.22001 -0.160258 -0.12111 -0.199663 0.212649 -0.151813 0.364094 -0.104694 -0.0854101 0.0725296 0.0116842 -0.170798 -0.221933 0.17899 -0.0150713 0.0196847 -0.11192 0.105069 0.0294939 0.0642441 -0.0873626 -0.245333 -0.0614473 -0.21282 -0.230421 -0.0932254 -0.0732143 0.372132 -0.234108 0.12373
