0	0.00835847 -0.0475788 0.0362587 0.0056729 -0.0715677 -0.131654 -0.26397 0.295719 -0.309279 0.0340359 -0.122536 -0.152601 -0.0656122 -0.153878 -0.237979 -0.296012 -0.226395 -0.217628 -0.0670208 0.0364067 -0.0458764 0.277674 0.0886354 0.0845322 0.0761438 -0.176255 -0.261292 -0.129146 0.0689822 -0.0154149 -0.0726926 -0.244393 0.0634905 -0.0105366 -0.0176551 -0.103402 0.249925 -0.335912 -0.0539149 0.250143 -0.122589 -0.237982 -0.117202 -0.0752313 0.0802722 -0.256059 0.103398 -0.146484 -0.307883 0.0685611 0.190558 0.0458064 0.0420028 0.254506 0.0823003 -0.113378 -0.0562016 -0.0105779 -0.188005 -0.0495129 -0.0632566 0.107895 0.197458 -0.264169 0.027553 0.234846 -0.15613 0.455926 0.107381 0.0982652 0.00166939 -0.108119 0.0214873 -0.189441 -0.161218 -0.0506099 0.108348 -0.00404932 -0.116156 0.296563 0.0736079 0.286464 -0.156365 0.0994121 0.0850871 -0.20052 -0.046862 -0.231685 -0.0504061 0.221294 -0.0342662 0.137388 0.107496 0.0603056 -0.0671523 0.248571 0.227103 0.000554685 -0.289197 0.103095 0.0181346 -0.218359 0.188272 0.0315994 -0.09449 0.0388752 0.0258819 -0.288987 0.0553599 -0.0851587 -0.169675 0.0302265 0.170409 -0.169269 -0.0380841 -0.148544 -0.00745624 -0.101585 0.111212 -0.0774031 0.391451 -0.236302 0.25797 0.363878 -0.165045 0.230196 -0.0777267 -0.0255865
1	0.0669558 -0.12336 0.143576 0.0745348 -0.480089 -0.352049 -0.608202 -0.06761 -0.220272 -0.0244156 -0.116035 0.0565738 -0.152852 -0.0933236 0.0977406 -0.177201 -0.201037 0.242801 0.229868 0.120546 -0.231381 0.174232 -0.145169 -0.00666007 -0.141269 0.0545296 0.0219034 -0.140057 0.261216 -0.129669 -0.0847349 -0.595229 0.18193 0.0622772 -0.26237 0.288221 0.219534 0.169455 -0.267414 0.0452729 -0.03839 -0.0873623 -0.160074 -0.0137689 -0.425916 -0.213508 0.0376263 -0.197679 -0.0550774 0.0600476 0.149441 0.117801 0.21859 0.0760778 0.0317072 0.213787 0.0852552 -0.054255 -0.214825 -0.126111 -0.13679 -0.0653912 0.0419019 -0.00664288 0.0959377 0.231271 -0.0304159 0.0353505 0.0587871 0.211668 0.0985038 0.199628 0.0793776 0.0590462 0.0965192 0.231641 0.0243866 0.31334 -0.102088 -0.0507554 -0.0896258 0.279128 0.0553663 -0.0188551 0.189119 -0.00425284 -0.421613 -0.14161 -0.161209 -0.00858412 0.0137832 -0.235391 0.0454971 -0.087667 -0.116653 0.139712 0.160087 0.117922 -0.317842 -0.0134251 -0.331067 -0.301029 0.202397 0.27534 0.19144 0.267377 -0.0716899 -0.127382 -0.145306 -0.169578 -0.40231 0.346336 0.00147245 0.191234 0.18717 -0.107692 0.0669181 0.123211 -0.100062 0.211708 -0.0438909 -0.18731 0.0210173 -0.0428501 -0.332735 0.256884 -0.0689334 -0.0916038
2	-0.00173451 0.235319 -0.0588433 -0.336426 -0.156963 -0.139607 -0.0422367 0.454669 -0.34661 0.219146 -0.0197935 0.170634 -0.17553 0.0324789 -0.00567509 -0.0593627 0.0163073 -0.0206367 0.0953624 0.23562 -0.108167 0.281831 -0.142632 0.22391 -0.146561 -0.142009 0.136529 0.0617027 0.154078 -0.344817 0.0431375 -0.238055 -0.113044 0.223623 0.0916203 0.0815411 0.0575977 -0.577255 -0.347029 0.209984 -0.199464 -0.0897108 0.147357 -0.180948 0.0715475 -0.271161 -0.0350863 -0.0722782 -0.409539 -0.0718612 0.298181 0.145269 0.00857872 0.0202381 0.0380568 -0.242956 0.231485 -0.165447 -0.184212 -0.0893006 0.0871656 -0.102918 -0.0607202 -0.412151 -0.0459257 0.350338 -0.171296 0.0686237 0.0036303 0.189638 0.0878968 0.0294863 0.0698036 0.604087 -0.169032 0.264767 0.00423375 0.198197 -0.0390193 0.182307 -0.119932 0.0933752 -0.0965438 0.33042 0.0194432 0.160757 -0.202772 -0.123647 -0.289343 0.134827 -0.238961 -0.259105 0.0737526 0.178328 0.168784 -0.0254178 0.379785 0.263574 -0.150343 0.00415603 0.162703 -0.213392 0.171119 -0.0387854 0.0228458 0.340371 -0.230129 -0.281503 0.0183865 0.105809 -0.0209299 0.293321 0.0935475 -0.00427695 -0.116164 0.111829 0.0214459 -0.0357444 0.0203447 -0.255806 0.14929 -0.231305 -0.120442 0.0810486 0.280531 0.197211 -0.0572717 0.00617746
3	0.180481 -0.149837 0.257521 -0.305561 -0.134634 0.13153 -0.529245 0.532586 -0.154358 0.186551 -0.0387023 -0.00285472 -0.3856 -0.323554 -0.00995886 -0.149473 -0.16862 0.342058 -0.170587 -0.234711 -0.274825 0.435087 -0.307516 -0.214944 0.248997 -0.221247 0.296607 -0.0301309 0.2892 0.0176225 -0.315507 -0.179997 0.333225 -0.0853178 -0.0633853 0.250513 -0.0585452 0.0340453 -0.0956724 0.2105 0.143958 -0.0384745 0.261989 -0.14605 0.110486 -0.142032 -0.148674 -0.735825 -0.0441888 0.23 0.642416 -0.23056 -0.125552 0.0786523 -0.261862 0.157732 -0.0835 0.0653021 -0.0187581 0.420256 -0.222021 0.350514 0.166924 -0.0968867 -0.185402 0.0528381 0.389488 0.203751 0.0131547 -0.252984 0.158207 -0.0741348 -0.515069 0.261178 0.00382131 0.364157 0.238151 -0.0165282 0.0211137 0.152406 -0.310216 -0.0776393 -0.0987922 0.3472 0.209583 0.161983 0.0962713 -0.117703 -0.136006 -0.136772 -0.0869027 -0.346759 -0.116336 0.249201 0.0262436 -0.096718 -0.310683 -0.0834072 -0.560824 0.23088 0.0432227 0.048793 0.111211 -0.0322081 0.140651 -0.0335829 -0.0390389 0.0882979 -0.0647691 0.0136164 0.0182885 -0.0280832 -0.0848813 -0.372636 0.00332811 0.326449 0.169868 -0.34817 -0.258762 -0.440735 -0.036522 -0.628994 -0.156739 0.0522442 -0.387354 0.431497 -0.520563 0.587091
4	0.0358666 -0.0181482 0.13165 -0.0304539 -0.211795 0.0287791 -0.273628 0.254952 -0.30927 -0.0918371 -0.0631536 0.247835 -0.0890649 -0.100008 -0.224071 -0.269098 0.157244 -0.0928317 0.104892 0.0544664 0.190595 0.31541 0.0794712 0.0331134 -0.00376117 -0.110064 0.112434 -0.0750458 0.211751 -0.185547 -0.0200193 -0.236125 0.210096 0.0299118 0.0769669 0.0760396 0.18125 -0.13735 -0.26564 0.187249 -0.0457048 -0.26428 -0.180775 -0.108075 0.125156 0.0122745 0.18751 -0.358072 -0.250264 0.0599025 0.386612 0.0729524 -0.0562167 0.303389 0.160841 -0.134745 0.0760901 -0.0366968 -0.17839 0.015805 -0.121474 -0.200464 -0.0404232 -0.181289 -0.0271326 0.194554 0.0225844 0.216068 0.128118 0.46449 0.191213 -0.203316 0.0300998 -0.051783 -0.225242 -0.142496 0.00417199 0.0182315 -0.0711924 0.228459 0.0770145 0.211246 -0.168478 0.178355 0.118018 0.0210431 0.00124496 -0.264857 -0.280349 -0.054909 -0.158165 -0.13239 -0.126816 0.0752847 0.00867685 0.192972 0.267575 0.246042 -0.266192 0.105189 -0.00251517 -0.195042 0.236671 -0.00304961 0.0264589 0.0230941 0.124923 -0.238524 0.0796812 0.043295 -0.130948 0.299538 0.0131184 -0.0631472 0.0276504 -0.217931 0.00795125 0.0177895 -0.0919907 0.0635864 0.0380479 -0.0745399 0.02637 0.169945 -0.0371777 0.139212 -0.197258 -0.0845362
5	-0.00147914 0.0201581 0.0893062 0.0161789 -0.36155 -0.0712452 -0.18865 0.230127 -0.0815067 0.0862622 -0.350145 -0.0325529 0.0600356 0.237339 -0.169722 -0.222112 -0.059906 0.150834 0.240709 0.0262087 0.333873 0.20244 0.0492927 0.240277 -0.121766 0.0616584 -0.0694449 0.00119905 0.0303769 0.0100616 0.0564979 -0.189426 0.224286 0.140133 0.16008 0.0869716 0.128901 -0.229207 -0.071158 0.0709169 0.00583141 -0.0742317 -0.131842 0.090088 0.421867 -0.327116 0.0387986 -0.222219 -0.311012 -0.019177 0.174099 -0.160405 -0.14392 0.362132 -0.0157512 -0.175195 0.250182 -0.100666 -0.00432762 0.104477 -0.292604 0.0752159 0.0278063 -0.170952 0.0926417 0.369586 0.0387117 0.25414 0.135606 -0.0352947 0.046009 -0.292969 -0.0420458 -0.0979924 0.135496 0.121024 0.268516 -0.0498443 0.353148 0.160864 -0.155113 0.170408 0.0159706 0.172033 0.0422007 -0.0854585 -0.156464 -0.127261 -0.452504 0.15979 -0.00462087 -0.0523978 -0.0419936 0.101384 0.0738259 -0.0274168 0.476361 -0.183369 -0.230049 0.167155 -0.0126326 -0.0269102 0.31829 0.117908 0.154374 0.0154462 -0.0461247 -0.131513 0.0279812 -0.254144 -0.050804 0.13976 -0.0148549 0.0678782 0.0524238 -0.0562628 -0.17023 -0.0518504 -0.032649 -0.195394 0.168725 -0.12701 0.0872983 -0.13731 -0.0195676 0.190762 -0.174204 0.192884
6	0.114955 -0.00911738 0.144308 -0.191739 -0.0464568 0.0978507 -0.130654 0.438328 -0.211779 0.0991863 -0.047916 0.182583 -0.0431038 -0.00572877 -0.199747 -0.0489853 -0.103143 0.0825339 0.207926 0.150263 0.0744987 0.14748 0.0573324 0.194999 -0.0342241 0.00248027 0.174941 -0.12901 -0.123273 0.283843 0.018655 -0.455403 0.0663774 0.161173 -0.0670712 0.212423 0.30854 -0.152356 -0.0570161 0.0275011 -0.142478 0.0232691 -0.14481 -0.343683 0.0470547 -0.011901 -0.199431 -0.0669888 -0.142664 0.234506 0.180216 0.071299 0.121018 0.11598 0.165969 -0.044655 0.32133 -0.0935297 0.0506009 -0.0115007 -0.00641668 -0.118262 -0.115925 -0.181072 -0.144673 0.179924 0.038838 0.251887 0.068587 0.255014 -0.0141932 -0.111962 -0.0608264 -0.242751 -0.158443 0.209786 0.254073 0.16411 0.0486317 0.2896 -0.191077 0.234345 -0.163158 0.228464 0.0583114 0.0766971 -0.0987914 0.398235 -0.350498 0.138774 -0.36867 -0.0806942 0.0263667 0.0765431 -0.188678 -0.0138743 0.0592301 -0.0209176 -0.157708 0.310273 0.138331 -0.270833 0.182394 0.191812 -0.141699 0.066606 0.00603599 -0.242313 0.0453132 0.0308571 0.148408 0.19958 0.0982857 0.154101 -0.180757 -0.042789 0.23242 -0.212933 -0.0805759 -0.117089 0.258228 -0.0794454 -0.051025 0.121106 -0.110206 0.22058 -0.409274 0.0391132
7	-0.0936248 -0.00940738 0.0489024 -0.121846 0.0225707 -0.0244302 -0.145557 0.0977736 -0.12851 0.213666 -0.278997 0.0916409 0.0448449 0.0582182 -0.148168 -0.104672 -0.193062 0.215132 0.174822 0.0683221 0.00474137 0.356033 -0.0843217 0.20143 -0.172154 -0.693873 0.283102 0.0886507 0.332612 -0.044017 0.159236 -0.409305 0.117765 0.106358 0.0965861 -0.151736 0.180533 -0.240539 0.0171734 0.195268 0.0690423 -0.0884946 -0.080437 -0.109024 0.0475991 -0.202588 0.165283 -0.128738 -0.185778 -0.0503477 0.14509 -0.270295 0.0473946 0.132977 0.105475 0.0671797 0.0649911 0.037872 0.11692 -0.0553226 -0.0727626 0.0158074 0.051949 -0.046858 0.191107 0.388567 -0.0258514 -0.0499872 0.0756457 0.0348287 0.046368 0.0232564 0.0751043 -0.150919 -0.0562374 0.176254 0.159343 0.027849 0.175368 0.376924 0.157084 0.0221283 0.021835 0.119436 0.143878 0.046594 -0.2946 -0.139338 -0.269886 0.21919 -0.0682544 -0.0576661 0.0429817 0.0811363 0.0122978 -0.112507 0.195926 0.00764935 -0.283045 0.282446 0.0281763 0.0226842 0.198908 -0.150055 -0.0378829 -0.0479997 0.188648 -0.174978 -0.0650416 -0.0631016 -0.172005 0.285422 -0.0916072 -0.0898707 -0.110284 -0.0707156 0.0865595 -0.0579674 0.0725676 -0.201748 0.115948 0.0259688 -0.0274962 -0.181636 -0.0667666 0.152632 -0.0196562 0.0109378
8	0.144084 0.359039 0.348241 -0.101764 -0.0720548 -0.536882 -0.197565 0.294246 -0.173413 -0.0178099 0.0569567 0.0427661 0.069468 0.0938207 -0.287892 -0.170199 -0.304513 0.0710973 0.314104 -0.0937834 0.184513 0.14043 0.100318 0.277043 -0.041404 -0.428914 -0.250548 -0.474349 -0.328457 -0.301859 0.183293 -0.442722 0.295334 0.0826875 0.163749 0.273113 0.411543 -0.468488 0.00111422 0.157648 -0.429956 0.132207 0.227702 -0.1648 -0.0409152 -0.171239 -0.19958 0.0314313 -0.248704 0.103073 0.573905 0.271796 0.118245 0.0649328 0.231737 0.325172 0.0851831 -0.229807 0.0594706 0.0592373 0.329354 -0.339854 0.0185501 -0.388243 0.0173568 0.0759382 0.119523 0.160655 0.212026 -0.152979 0.207984 -0.00677667 -0.365966 -0.37031 -0.13504 0.314522 0.165562 0.181149 -0.114536 -0.0990639 -0.0310428 0.0641282 -0.131132 0.164247 0.388644 0.074881 0.11717 -0.176934 -0.283671 0.0617997 0.21322 0.00466503 0.0477753 0.350776 -0.0437066 -0.02876 -0.0693039 0.0421515 -0.478899 0.231848 -0.0236394 0.235627 0.231682 0.0399917 -0.145332 -0.108878 -0.353864 -0.311285 0.510751 -0.177353 -0.251574 -0.186553 -0.551545 -0.0695518 -0.0743472 0.0324006 0.264619 -0.131508 0.154883 -0.19009 0.183649 -0.00881288 0.00438231 -0.396397 0.234093 0.0507533 0.0449587 -0.109232
9	0.114992 -0.165136 0.235048 -0.0415653 -0.0683596 -0.0352182 -0.0407374 0.115896 -0.108767 -0.0665857 -0.254092 0.149705 0.0218182 -0.0367561 -0.0483517 -0.0324727 -0.178961 0.152681 -0.35005 0.184376 0.200792 0.253216 -0.000468996 -0.00803531 -0.0237211 -0.158255 0.0191101 -0.0034438 0.150542 -0.0140085 0.00683165 -0.00436363 0.102464 -0.0888655 0.287466 0.067172 0.228275 -0.224211 -0.0313519 0.300288 0.0874028 0.0741698 0.0551779 -0.0166736 0.00492264 -0.319095 0.0126472 -0.345281 -0.266221 0.343199 0.406689 0.0419187 -0.212067 0.268683 0.0645758 0.0187115 0.19983 -0.0533815 -0.103715 -0.0823764 0.131301 -0.187259 -0.147994 -0.112487 0.0963831 0.233217 0.0517774 0.119048 0.00739611 0.0735933 0.19941 -0.0387105 -0.0119811 -0.284023 -0.232816 0.25628 0.165792 0.0482753 0.0668682 0.334623 0.217617 0.00252312 -0.0471711 0.260862 -0.0530403 0.1897 -0.407302 -0.207737 -0.435205 -0.129316 -0.112655 -0.095126 0.182607 0.269269 -0.057863 -0.100649 -0.0931649 0.165366 -0.295704 -0.0346849 -0.184262 -0.260219 0.32623 -0.130274 0.22649 -0.185455 -0.195134 0.200891 0.0626389 -0.132391 -0.225452 0.132825 -0.0483997 -0.169603 -0.0632827 -0.0100364 0.108777 0.17249 -0.0782095 -0.179977 0.008405 -0.0125443 -0.10919 -0.0221634 -0.0453293 0.22665 -0.192839 0.192725
