event,tweet_id,node_id,tweet,attendance_label
anthrocon,1017097806786580480,601,anthrocon AC2018,1
anthrocon,1015974586138222594,621,“Furries descend upon Pittsburgh for Anthrocon ” https:// twitter.com/i/moments/1015 935637902495744,1
anthrocon,1039835765566566400,768,"Things are complicated right now. I'm not sure if I can make it to Anthrocon this year. I say, while packing the car to head out for my seventh consecutive anthrocon .",1
anthrocon,1016118419912036353,702,AC_MMXVIII pic.twitter.com/6zRIR13ko5,1
anthrocon,1016531045506781184,157,Anthrocon Anthrocon2018 AC2018 pic.twitter.com/Tvn3uwOFRT,1
anthrocon,1017664825105833984,669,Anthrocon here we come pic.twitter.com/0U5BqpEAmU,1
anthrocon,1016812118996287488,762,BoopingsNotShootings,1
anthrocon,1029127610171908097,1055,FreeFurFest,1
anthrocon,1026951373131268096,314,*cheers*,1
anthrocon,1050511412118872064,768,*gasps* AAAAAAAAAA,1
anthrocon,1057037563926626304,768,*grins evilly*,1
anthrocon,1051599864855957504,768,*sad because can’t go to anthrocon *,1
anthrocon,1016165399354802176,702,*sneaks closer with “assistant programming director” ribbon*,1
anthrocon,1020670542674890752,875,. . . Boozy got head at Anthrocon ?,1
anthrocon,1018242408998428672,624,"....next year, anthrocon .",1
anthrocon,1014710721370877953,222,.anthrocon heyyyy https:// twitter.com/dagefenram/sta tus/1014289459192455169,1
anthrocon,1015369968605630465,660,.BassManSTS posted a new room available listing for anthrocon AC2018 https://www. conroomies.com/rooms/ac2018/a vailable/907,1
anthrocon,1041326931449401349,768,"anthrocon , here we come! (iyumcropus Art_Mutt TekoOtter ) Anthrocon2018 pic.twitter.com/Tkz74KQN6E",1
anthrocon,1023662562427252737,669,anthrocon Unclekage pic.twitter.com/L9dqkJMm3S,1
anthrocon,1039429429720576000,601,anthrocon bound!! pic.twitter.com/gJEwcQld02,1
anthrocon,1057405423186309121,768,anthrocon https:// twitter.com/ShenLung4/stat us/1014556604337917952,1
anthrocon,1050778783173750784,171,anthrocon pic.twitter.com/0kRHZL2GpF,1
anthrocon,1049775779498868736,768,anthrocon will you guys be streaming the dance comp and floor Wars?,1
anthrocon,1015418950262419456,203,anthrocon,1
anthrocon,1041077134909947904,768,R3vnge_army and I all packed and heading down to Pittsburgh for anthrocon ! Will we see u there? pic.twitter.com/suGl0wPzEr,1
anthrocon,1016355952323260416,52,tamiaschipmunk is there!,1
anthrocon,1045066398177927168,768,>..> *steals my secret cookies* >:3,1
anthrocon,1014314272804007936,669,1 Days 22 Hours 21 min 27 sec until Anthrocon ! http:// IsItAnthroconYet.com cc dmuth,1
anthrocon,1029488047522426881,314,14: Anthrocon 15: The Regon That Never Sleeps 16: Basically Canadia,1
anthrocon,1014682359147499520,669,420,1
anthrocon,1015446658795130880,937,"8 hours from leaving for my plane to anthrocon , it has not compleatly set in that im about to attend my first con? Does anyone have some tips for a first timer?",1
anthrocon,1022240066108841984,314,A couple pictures from primantibros in Pittsburgh from the other week. It always makes me nostalgic for Anthrocon . Shot on Kodak Portra 400 film. BelieveInFilm FilmsnotDead pic.twitter.com/MMLandhJIN,1
anthrocon,1043552842714361857,768,A lot of cookies for a lot of furries <3,1
anthrocon,1015959185333325828,329,A plentiful meal of Popeyes before the arduous journey to Anthrocon . pic.twitter.com/lIfuGMfAUh,1
anthrocon,1024414409693835264,314,"A year ago when I drew my fursona. And kept drawing... and drawing.. and hangin out a lot in Discords, then going to Anthrocon , now wanting a fursuit. For me it was less of a slippery slope into furrydom and more of a trap door.",1
anthrocon,1017601267718225920,989,"“Hey Mister Fox, why don’t you attend Anthrocon anymore?” https:// twitter.com/bgr/status/101 4129625843294210",1
anthrocon,1047604532329566208,768,Anthrocon ∠)_,1
anthrocon,1051485122011258880,768,Accident on PA Turnpike Mile marker 104.3 Semi vs multi vehicle. Left lane closed. anthrocon Anthrocon Anthrocon2018 pic.twitter.com/BRxUdy8uWQ,1
anthrocon,1059147727676809217,768,Accurate for every con D8,1
anthrocon,1016688299690414080,904,"After the Parade, so sometime around 3:30 PM tomorrow.",1
anthrocon,1023814291009531904,669,Ahhh! I need a wolf one now!,1
anthrocon,1020603696965668864,669,Ahhh. Car Tetris.,1
anthrocon,1043268170960785409,768,Already saw an anthrocon shirt and I’m barely past security.,1
anthrocon,1019283255902732289,669,"And off to the airport we go! Anthrocon , here we come!",1
anthrocon,1050076907230908418,768,And phase one of journey to anthrocon has begun! Stop outside Philly then heading over tomorrow! Expect lotta floofy greatness to follow!!,1
anthrocon,1015089466866896896,20,Anthrocon !,1
anthrocon,1015750120745422848,203,Anthrocon : hyped The 17 hour drive: whack,1
anthrocon,1043919097673723906,768,Anthrocon ?,1
anthrocon,1039993311325499392,768,ANTHROCON BOUND pic.twitter.com/Qaw2q2Bch9,1
anthrocon,1031662667071676418,314,"Anthrocon cops are the coolest cops I've ever seen, and more than other famous people's deaths, even Chester from linkin park.",1
anthrocon,1039272207216783360,768,Anthrocon day!,1
anthrocon,1016359453866807297,519,Anthrocon hasn't even started yet and Pittsburgh is already prepped https:// twitter.com/BillyBob11432/ status/1014285029332144128,1
anthrocon,1016759730100793344,397,Anthrocon here I come! pic.twitter.com/aNRE5KbIRi,1
anthrocon,1050508586277851137,768,Anthrocon is a big thing there: https:// m.pghcitypaper.com/pittsburgh/fur ry-friends-pittsburgh-restaurants-welcome-anthrocon-furries-with-specials-signs-and-long-straws/Content?oid=9244633,1
anthrocon,1053777638819553281,768,Anthrocon is around the corner.,1
anthrocon,1018149827090272258,329,anthrocon is tomorrow and i caN'T FUCKIN SLEEP,1
anthrocon,1016381979967868929,29,Anyone else still packing for anthrocon ?,1
anthrocon,1050900225597104129,669,are those anthropomorphic pierogies?,1
anthrocon,1039642195492593665,768,Arrive Anthrocon tomorrow at 4PM. Staying at The Courtyard w/ Zarafagiraffe . My goal is to make him blush/get flustered/loss for words at least once a day.,1
anthrocon,1019102072824836096,671,Arrived at Anthrocon ! – at David L. Lawrence Convention Center,1
anthrocon,1014976476196823041,857,As another anthrocon begins I'm reminded that probably the quickest way to a 6-figure salary in fandom may be to work for the furries NotThatTheresAnythingWrongWithThat KeepGettinDemChecks,1
anthrocon,1016143235662610432,1015,"as pittsburgh gets battered with rain, i’m covering anthrocon — a furry convention that draws thousands annually — for PittsburghPG Anthrocon2018 pic.twitter.com/WK0youhhdq",1
anthrocon,1064664450869923840,948,at least its not FurAffinity after Anthrocon,1
anthrocon,1030478420923305989,343,Aussie has it's own anthrocon . It is furdu,1
anthrocon,1017632151796355072,669,Aw I don’t think my Washimi costume qualifies for being in the pursuit parade because my head isn’t covered and my face is just makeup and some human skin shows through.,1
anthrocon,1015584774872813569,771,"Aw, isn't that cute? They saw me packing for Anthrocon and so they're waiting in my suitcase. pic.twitter.com/Fki8dHvuWF",1
anthrocon,1014904960897691648,565,awwww..... I miss you bud.,1
anthrocon,1057956624416100352,768,Ayeee what car u drive?,1
anthrocon,1016096314587828224,835,"Behold, the story of the Anthrocon signs! This is why I had a pocket of time in May where I was very tired and my schedule got all wonked up for a bit afterward. https:// twitter.com/MothMonarch/st atus/1016797100221353984",1
anthrocon,1016164884852158464,503,Big ass pink drank,1
anthrocon,1022931057505533952,447,bluethooth~~~~ anthrocon pic.twitter.com/pzPwCCCCQR,1
anthrocon,1015381436558467073,948,"Bruh first Anthrocon I was 15-turned-16 and Ganador was on my shit (he was in his 20s), then Algernon the next year, how crazy dangerous the fandom was back then. Yikes.",1
anthrocon,1040939888819007488,768,btw you know about the lion photoshoot?,1
anthrocon,1059129595562221570,768,But that was A/C! you're GOING THE WRONG WAY!!!,1
anthrocon,1053404845116452864,768,"Come find me anthrocon , table B-19! Anthrocon2018 pic.twitter.com/m3J9bXcLXq",1
anthrocon,1058142209592229888,236,Come to this Scenic river in the next 30 minutes if u want an ass kicking Anthrocon pic.twitter.com/e4UymG9R8x,1
anthrocon,1015623129480253440,334,Completely just ignoring 4th of July which feels weird but Anthrocon prep is wild,1
anthrocon,1020178131225849856,615,Con list is all next year. FC ANE TFF CONFUZZLED BLFC FURRY SIESTA ANTHROCON MFF ANW,1
anthrocon,1051321678779834368,664,Crying bc I cant go to anthrocon,1
anthrocon,1016382727187095552,397,damn livin for those nazi furs f off things going around anthrocon XD u can talk abt those things causing the division but rly its the nazis sorry,1
anthrocon,1033410924210728960,875,Damn thats a long drive i need to move up north so im closer to fur cons im always too far from any cons where i live,1
anthrocon,1030217258365214720,669,Damnit I am curious,1
anthrocon,1059109839782248448,768,Day 2 on our drive to Anthrocon ! Playing pokemon go with my buddy at every gas stop! pic.twitter.com/H545uz1AHG,1
anthrocon,1058115596213252098,768,DMed,1
anthrocon,1014710441946304512,408,DO IT IT ISNT TOO LATE,1
anthrocon,1032340931566071808,875,Do you have any reason why they both fighting?,1
anthrocon,1058114241406869505,768,Do you have video's on You Tube?,1
anthrocon,1018163130390761472,621,Does Crazy Joe have a twitter? He's the Fennec Fox right?,1
anthrocon,1015466497874022400,408,Don’t get lost :p,1
anthrocon,1014981234966003712,565,"Don't let people take anthrocon down the wrong path like a few fur cons in the past. And if you've been up to date with FurNews in the last 3 years, you'll know EXACTLY what I'm talking about",1
anthrocon,1017140950299103232,397,dorsai?,1
anthrocon,1051598363299368966,768,Driving to Anthrocon tomorrow woooooo,1
anthrocon,1015656008046301184,911,"Due to Japan's earthquake, some of our Zoids orders were delayed. Ship-to-home orders will be available at our anthrocon table. Anthrocon",1
anthrocon,1016050164287631361,684,eh ill just copy off of the computer in my school for being off task but i was at anthrocon,1
anthrocon,1053717969140899840,768,"En route to Anthrocon , seeing several toll plazas. How come there aren't toll malls or toll outlets?",1
anthrocon,1022830300655742976,8,Espeon pokeball thing I got at anthrocon is beautiful.,1
anthrocon,1014851921360846848,314,"Even anthrocon , arguably the con most likely to be staffed by cops, let me put Chastity Kassidy on my badge what is this fuckery.",1
anthrocon,1043493991218581504,768,Even more gay,1
anthrocon,1014452999958261761,222,EVERYONE IS AT ANTHROCON ALREADY ! ! WHY CANT I BE AT ANTHROCON ALREADY ! !,1
anthrocon,1053775881498513408,768,"Everyone is bitching about taking Uber/Lyft or a shuttle or whatever from Pittsburgh International to anthrocon ... You know you can take the bus straight there and it costs $2.75, right?",1
anthrocon,1042514041493700609,768,FIND ME AT ANTHROCON ill probably be with my bf /cryptidyote! pic.twitter.com/B2aeKn18wU,1
anthrocon,1016009429962166276,8,"Fine, if no one else is gonna post it: pic.twitter.com/so80xIy0hW",1
anthrocon,1017579656172703744,601,"first the people with herbivore fursonas, then the people with carnivore fursonas?",1
anthrocon,1042904175145897990,768,"Flying on the wings of southwest here soon, Anthrocon here I come!",1
anthrocon,1014947476900581377,948,"for Anthrocon cause he understands my pain >Papa accepts the offer >A week later we're at anthrocon >Life goal complete, I can now die in peace >Thank u hospital worker furry furryfandom fursuit 4chan greentext pic.twitter.com/9D4Dw6DQ4S",1
anthrocon,1051604155507331072,768,For those driving in to Anthrocon https:// twitter.com/LeoBlueWolf/st atus/1014541193928171520,1
anthrocon,1064946078678769664,875,"Forgot that saberyeen doesn't use his other name for twitter handle, so a random normie is getting a lot of furry anthrocon tweets WOOPSIES",1
anthrocon,1038148087901040641,447,"Fox, will the video be released afterwards? It looks awesome!",1
anthrocon,1015394069470679040,565,"From what I've seen of both sides, neither really appears to be intoxicated.",1
anthrocon,1015413232926969857,408,"fuck, it's just setting in that i'm missing my first anthrocon in like 4 years. damn, i'm gonna be jealous",1
anthrocon,1016087973148884992,1027,Furries are back! 8 things you need to know about Anthrocon https://www. wpxi.com/news/top-stori es/furries-are-back-8-things-you-need-to-know-about-anthrocon/782471588,1
anthrocon,1016530224551481344,789,furries ARE the new classy!,1
anthrocon,1043490634533888000,768,Fury’s are gay pic.twitter.com/0A8RGQ9iAE,1
anthrocon,1016766926041870337,669,Get a bigger car.,1
anthrocon,1040727224020819968,768,Get gas before you come. It's expensive in PA and even more so in western PA,1
anthrocon,1015301341131034625,564,GinyuFur!,1
anthrocon,1014492614043820034,525,Go catch a roadrunner...,1
anthrocon,1014711557081763840,669,Gonna try something a bit different. I'll be streaming shortly on Youtube with Microsoft Flight Simulator X with a flight from Atlanta to Pittsburgh. We'll be flying to Anthrocon .,1
anthrocon,1015448959924482048,835,Had an awesome time at Anthrocon with abstractfatty and HungerMythos but now it’s time to settle into post-con and post-pal wah wah stinky feelings pic.twitter.com/AC1Z53U49g,1
anthrocon,1038906666383757314,768,Hanna and Saul are a thing??? NoDatingInTheWorkplace,1
anthrocon,1019357857324716033,669,Have a blast!,1
anthrocon,1045431858782195712,768,Have an awrsome time! ^^,1
anthrocon,1014701518581391360,43,Have fun with that loser,1
anthrocon,1042540222494306304,768,Have fun!,1
anthrocon,1059143294284980227,768,Have fun!,1
anthrocon,1014945021101998085,285,He looks fantastic!,1
anthrocon,1049715941288873984,669,Heading out for anthrocon tomorrow morning! *Wiggle scream*,1
anthrocon,1047606661907660801,768,Heading out to Anthrocon tomorrow! Come find me and say hi! Anthrocon2018 AC2018 pic.twitter.com/h9lv1BEFdQ,1
anthrocon,1014912108562132992,329,Heading to AnthroCon now! 16 hour road trip here we go! Natsuro_Wolf pic.twitter.com/qajRZhjWBO,1
anthrocon,1015835699751342080,447,HECK ANTHROCON IS SO SOON pic.twitter.com/6AzCXZ3eEt,1
anthrocon,1050864329124405248,768,Hehe found uuuu pic.twitter.com/2gEpA8qW0M,1
anthrocon,1067829453466857472,606,Hello anthrocon pic.twitter.com/AVsi6tZUxq,1
anthrocon,1049782641430548480,768,"Hello! I will be there, can't regularly check art show though so I'd make a bad proxy. I have some minions though depending on what you need",1
anthrocon,1023297857976250368,222,Here at Anthrocon and crashing out for the night. Give me a shout if you are here! We don't load in till Thurs so Wednesday is totally free!,1
anthrocon,1067333170503180288,669,here's a bunch of tiny things I'll also have in the anthrocon art show! Teeny tiny paintings and mostly of trash creatures pic.twitter.com/HnAODTctDv,1
anthrocon,1015195798198542339,621,Hey anthrocon can this be next year’s charity???,1
anthrocon,1065984478177361920,768,"Hey guys! I made it to Anthrocon . You can find me in room why would I post this and my hotel online and put several people in danger of being robbed, stalked, or worse?",1
anthrocon,1017825755219324928,263,"Hey, any cubs going to Anthrocon know of any babyfur telegram chat rooms?",1
anthrocon,1066121045004951552,66,"Heya anthrocon to all fans of art, you will find ClearSkiesGM ShoNUFF44 & N8Dogg5k_Art just look for the Shonuff banner and pickup a a RoanRPG book or a ShonuffBook or some commissioned art from Sho and N8! pic.twitter.com/rXpm64vQrR",1
anthrocon,1057755641006047233,768,H-hey I’m in a room,1
anthrocon,1042546257137287168,768,Hit it pic.twitter.com/FI8NfNXKAP,1
anthrocon,1018198238913056776,606,Holy jeebus *,1
anthrocon,1052318210714992640,768,Hope to see you around! I'm also here but stuck in a parking garage because of stupid miscommunication lol,1
anthrocon,1052677407138832384,768,How rooming for anthrocon works: https:// m.youtube.com/watch?v=Pme1sP cwJP8,1
anthrocon,1016288791865290752,329,How to find me anthrocon ..Anthrocon2018 Anthrocon furryfandom pic.twitter.com/DNEzHhI4oO,1
anthrocon,1066725146067705857,669,"how to find me at anthrocon !! 1 whole cat. if u see me/my bare arms n legs, say hi! pic.twitter.com/91RBtOCUJ3",1
anthrocon,1052570342198272001,768,How to find me at Anthrocon pic.twitter.com/G08QsTTqmU,1
anthrocon,1018968013465423875,669,"How to find me at Anthrocon . Go back in time to before the hotel screwed me over and it stopped being fun, THEN you can find me. :)",1
anthrocon,1042725014653624320,768,How to find me at Anthrocon . pic.twitter.com/7rp8jIVysT,1
anthrocon,1040942727893065728,768,How to find me at Anthrocon : pic.twitter.com/RsYdh2Bgm9,1
anthrocon,1043926706497748992,768,How to find me at Anthrocon : You don't,1
anthrocon,1062840141990055936,631,"How to find me at Anthrocon 2018 You won't 'cuz I ain't going this year, new york comic con is where I bet at in October",1
anthrocon,1039638936371507201,768,How to find me at Anthrocon pic.twitter.com/XCemSdYAfn,1
