event,tweet_id,node_id,tweet,attendance_label
comiccon2017,891241828477001728,2192,"Woohoo, going to comiccon2017 in London later today! EmiratesCup2017 tomorrow!",1
comiccon2017,924482142146572293,883,With catwoman catwomen lacomiccon2017 lacomiccon17 stanleecomiccon comiccon comiccon2017 https://www. instagram.com/p/Ba0TqN4nFNY/,1
comiccon2017,888840194308362240,1123,Why I'm not at comiccon2017 ryangosling pic.twitter.com/DKzvjhDlS4,1
comiccon2017,889340577367678980,132,Which one of these things doesn't belong? BlackPanther MCu marvel Sdcc Sdcc2017 ComicCon ComicCon2017 MarvelStudios pic.twitter.com/jvHcVrIZA3,1
comiccon2017,888801595990736896,1959,Where's Wally?! KeiynanLonsdale comiccon2017 pic.twitter.com/oZ5x6VbbvZ,1
comiccon2017,890986093763481600,1572,When we needed food and drinks leenisabel comiccon2017 comiccon bbq bar beer food sandiego nguyendong pic.twitter.com/T7SQs97wi4,1
comiccon2017,889180647511785472,1203,When Aquaman goes Batshit ! Shaping water baby.... comiccon2017 https:// twitter.com/AngieMGriffin/ status/888848093226991616,1
comiccon2017,888926530033733632,122,Westworld Season 2: Comic-Con Trailer HBO Westworld WestworldSDCC SDCC SDCC2017 comiccon2017 comiccon https://www. youtube.com/watch?v=phFM3V _dors&feature=share,1
comiccon2017,889163639944622080,2176,"We're in. sdcc comiccon2017 ( Hall H in San Diego, CA) https://www. swarmapp.com/c/1CPLB5Tf8fV pic.twitter.com/xxKQ6Ikff9",1
comiccon2017,889129814270943232,1805,Wearing my StrangerThings shirt and hat. Feelin it this morning. SDCC ComicCon2017 Netflix,1
comiccon2017,889249386991058945,1904,Visit me right now! Dark Productions P-11 at the back of 1800! SDDC2017 sdcc ComicCon comiccon2017 smallpress pic.twitter.com/ZfBAvh0Mrb,1
comiccon2017,888899690753908736,108,Ver las fotos y vídeos de la comiccon2017 de Warner/DC es un disparo a mi corazón pic.twitter.com/Iom2sLrqgJ,1
comiccon2017,890099427490361344,1614,Upgrading the studio. kitchen PodcastOTS podcast itunes film TV ComicCon2017 SDCC https://www. instagram.com/p/BXAANuEhl37/,1
comiccon2017,889074166682595329,2147,Uncharted 4 Utopia trophy https:// youtu.be/vLPPTs1B3Jo Uncharted4 PS4 Playstation trophy stage10 hard comiccon2017 warlords Drake,1
comiccon2017,907204841973448704,1300,Tom Welling's Turning Up The Heat!!!!! Let's Face It: He IS HOT!!!!! TomWelling Smallville Lucifer LuciferSeason3 ComicCon2017 Video pic.twitter.com/qWAO1e15c5,1
comiccon2017,888923070563360768,122,The Flash | Comic-Con® 2017 Video | TheFlashSDCC TheFlash SDCC SDCC2017 DCTV ComicCon comiccon2017 https://www. youtube.com/watch?v=bYDdu_ mC6cI&feature=share,1
comiccon2017,916851733476777985,204,The family that slays walkers together .. newyorkcomiccon comiccom comiccon2017 nycc https://www. instagram.com/p/BZ-FwSZFYlZ/,1
comiccon2017,888913025180327936,1183,The Expanse!!! comiccon2017 theexpanse https://www. instagram.com/p/BW3kswElGz7o zC3muw5VaWoHIeDET5FXvsNhck0/,1
comiccon2017,888913258907705345,122,Supergirl | Comic-Con® 2017 Trailer | WBSDCC SDCC SDCC2017 DCTV ComicCon comiccon2017 Supergirl https://www. youtube.com/watch?v=DaI6dc oRRQQ&feature=share,1
comiccon2017,888952650716164096,2411,"Sunday at SDCC sarahglidden on graphic journalism, her travels to Iraq & Syria, Israel and more, 1pm Rm 4 http:// sched.co/BQQD DandQ",1
comiccon2017,888920299546099712,122,Star Trek: Discovery - Official Trailer StarTrekDiscovery StarTrek SDCC SDCC2017 ComicCon comiccon2017 https://www. youtube.com/watch?v=hC7IMj 7WFyE&feature=share,1
comiccon2017,936569582520864768,1720,Something to remember from the Comic Con Tokyo 2017! starwars stormtrooper comiccon2017 https://www. instagram.com/p/BcKMZL5A-qq/,1
comiccon2017,888968100204261376,1904,So. Much. Girl. Power! sdcc sdcc2017 cosplay comiccon2017 comiccon San Diego Convention https://www. instagram.com/p/BW39v3ZAzPh/,1
comiccon2017,892995394044440578,1413,"Since the line was too long this year, someone is staking their claim on 2018's LAIKA Experience comiccon2017 LAIKAStudios pic.twitter.com/aNWQUM4xia",1
comiccon2017,889228570932936705,944,Shout out to grantgust representing the Home team with a NorfolkTides shirt at comiccon2017,1
comiccon2017,888889214544207872,1821,Seated for some Stranger_Things Season 2! SDCC2017 comiccon2017 HallH pic.twitter.com/fcRFHDDKnZ,1
comiccon2017,889437213716557826,861,Se queda comiccon2017 pic.twitter.com/fcvWAFdoeG,1
comiccon2017,924806278047846400,390,Renée na comiccon2017 C4winnipeg fotos reneeoconnor sunday pic.twitter.com/HrW2ae1pMW,1
comiccon2017,904825133575098369,1667,remembering comiccon2017 MisElizaJane pic.twitter.com/WpYjP9BLbQ,1
comiccon2017,889539981903106053,1722,Red themed antiheroes unite! harleyquinn redhood sdcc sdcc2017 comiccon2017 comiccon https://www. instagram.com/p/BW8BzzLjXY6/,1
comiccon2017,909855571758714881,1618,Place pour le ComicCon_Paris acheté et photo avec FinnJones acheté IronFist thedefenders marvel ComicCon2017,1
comiccon2017,916449045165551622,495,ny comic con time . . nycc nycc2017 nyccexclusive comiccon comiccon2017 nycomiccon comics https://www. instagram.com/p/BZ7OoSoA9VH/,1
comiccon2017,888971475771772930,2002,Nuevo poster de Black Panter ComicCon2017 pic.twitter.com/Xlo8vKj7He,1
comiccon2017,890056347537989632,2289,Name that cosplay from comiccon2017 ! This is a legit Xmen character. Fans of XPlaintheXmen should know who this is lolsdcc sdcc2017 pic.twitter.com/GxTQQKhhl8,1
comiccon2017,889247323280330753,1377,My final comiccon2017 panel is of course the Buffy musical sing along! letsdothis sdcc sdcc17,1
comiccon2017,914627982743953408,615,Me and my girlfriend are going as Spider-Man and Spider-Gwen for this year's comiccon2017 I can't wait.,1
comiccon2017,923983178288771074,2234,MCM London comic Con here we come!! londoncomiccon comiccon2017 comiccon pic.twitter.com/H4toXiE0nu,1
comiccon2017,924197518812073986,101,MCM LONDON COMIC CON day two... mcmldn17 comiccon2017 comiccon nsfw pic.twitter.com/PwqCB0fTBP,1
comiccon2017,888934516882108416,1053,Loooove it ThorRagnarok comiccon2017 https:// twitter.com/Marvel/status/ 888933594005098497,1
comiccon2017,923846592968437760,101,LONDON MCM COMIC CON! ldnmcm17 mcmldn17 comiccon comiccon2017 pic.twitter.com/TNrFF38qBK,1
comiccon2017,889885382833254402,701,Listen to our podcast ThePickyEaters_ https:// archive.org/details/Episod e108_201707 WarForThePlanet ReadyPlayerOne JusticeLeague InfinityWar comiccon2017,1
comiccon2017,914129311862546433,216,Let's go...on the way to Berlin! comiccon2017 davemorrissey64 See ya tmrw!,1
comiccon2017,924074253447811073,883,Just picked up my badge for Saturday. stanleecomiccon comiccon comiccon2017 comicbooks https://www. instagram.com/p/BaxaLXynjiT/,1
comiccon2017,888819369781846016,1805,Just got to the end of the Netflix line. We are at Broad City pop up. Yeesh! SDCC ComicCon2017,1
comiccon2017,888962827955957760,1434,"Just found ConanOBrien on tonight, and he's out at comiccon2017 Score!",1
comiccon2017,918449388678209536,313,Je vais surement a la comic con le 29 !!!! ComicConParis comiccon2017,1
comiccon2017,892228017195548672,1768,"IN OUR LATEST BBB PODCAST, Rmeddy AND I DISCUSS comiccon2017 , ChesterBennington , Sleight AND Dunkirk : https:// vid.me/JsyBH pic.twitter.com/1azg1NY864",1
comiccon2017,888899149248081920,1287,If only it was the real danedehaan but this identical looking figure will do Valerian comiccon2017 SDCC2017 pic.twitter.com/zWAi6MiIq1,1
comiccon2017,895736395255435264,971,If I was going to comic con I would have dressed up as Harley Quinn comiccon2017 ComicCon https:// youtu.be/M2nkCdvqnLs,1
comiccon2017,891139012550770690,1805,I still have SDCC stuff sitting in my giant Shark Week bag that REALLY needs to be put away. ComicCon2017 ImLazy,1
comiccon2017,889174950329843712,1377,Here we go Day4 ! Wonderwoman comiccon comiccon2017 SDCC https://www. instagram.com/p/BW5bz7vlKS6k 2fYmZUGptrnVOpAqZGmY4ZJXM80/,1
comiccon2017,889372948171112448,1960,Hasta el proximo año Comic-Con ComicCon2017 pic.twitter.com/NfMaWWdi0m,1
comiccon2017,888844623455567873,1805,Got my SYFY bag!!! SDCC ComicCon2017,1
comiccon2017,888890006298701824,1805,GOT BOTH THE StrangerThings AND TheDefenders SHIRTS AT THE NETFLIX OFFSITE!!!! SDCC ComicCon2017,1
comiccon2017,889261990463496193,503,Final day comiccon2017 looking light sandiego San Diego Comic Convention https://www. instagram.com/p/BW6DY3VFAc7/,1
comiccon2017,888813522091597824,2333,Feminist nerd alert: rgay is my reason to comiccon2017,1
