event,tweet_id,node_id,tweet,attendance_label
icann572016,989698109449146370,210,.ICANN in a deadlock with GDPR over the WHOIS database and that means there's Internet trouble ahead > https://www. zdnet.com/article/dns-is -about-to-get-into-a-world-of-trouble-with-gdpr/ via ZDNet & sjvn personaldata dataprotection privacy compliance regulation DPO,1
icann572016,990890732151025664,105,RT DrivingTheDay : ICANN Webinar Tuesday MAY 15 at 09:15-10:30am PDT / 16:15-17:30 UTC re: EU GDPR & ICANN WHOIS Spec for gTLD Reg Data http://www. domainmondo.com/2018/05/news-r eview-as-gdpr-deadline-looms-is.html domains DomainName domain ICANN62 ICANN GDPR GDPRcompliance pic.twitter.com/vamf6Z0gov,1
icann572016,991400783508733952,630,"UNCSTD WSIS session, njhickson of ICANN : there were some points in the final evening of WGEC where we were optimistic about reaching consensus. But the work WG did show an understanding & appreciation of the issues involved in enhanced cooperation. netgov",1
icann572016,992730328119865345,25,"UNCSTD WSIS session, njhickson of ICANN : the spirit of the cooperation shown in the WGEC should be repeated, whether in a continuation of the WG or at CSTD or in some other venue that discusses enhanced cooperation. netgov",1
icann572016,993078692829126656,25,"UNCSTD WSIS session, Canada: WGEC improved mutual understanding of enhanced cooperation. There is a full transcript of all discussions and all views expressed at WGEC meetings, and we have to thank ICANN , which funded the transcriptions. netgov",1
icann572016,994612791083458561,491,"RT DomainMondo : UPDATE: EU GDPR & ICANN WHOIS -- Webinar ICANN on Spec for gTLD Reg Data on Tuesday, 15 May 2018, 09:15-10:30am PDT / 16:15-17:30 UTC http://www. domainmondo.com/2018/05/news-r eview-as-gdpr-deadline-looms-is.html domains DomainNames NetGov EUGDPR ICANN dataprotection Privacy GDPR",1
icann572016,996336096475799553,604,Today’s 10AM ICANN session during Day Zero of RightsCon has been cancelled. We’ll still see you at the Youth Summit at 1PM in 203A. peakeaj,1
icann572016,996336413695234049,604,Engaging young newcomers axelpawlik julfmobile at the RIPE76 meeting in Marseilles for them to get involved in ICANNAtLarge ICANN pic.twitter.com/gV1oW4WagN,1
icann572016,996340536574402567,604,Se encuentra abierto el registro para la reunión de Políticas de ICANN ICANN62 a celebrarse del 25 al 28 de junio en la Ciudad de Panamá ICANN_es http:// ow.ly/TPNH30jZWkg pic.twitter.com/RTVR0Enw6g,1
icann572016,996730621639757825,592,That moment when some stuntmen in ICANN have okayed .java as a TLD. http:// 02.lv/t/2c1d38.jpg https:// twitter.com/PBirkants/stat us/996407233226461184,1
icann572016,996788811647635457,491,.ICANN ‘s peakeaj talks about how the Internet works and how icann works at RightsCon youth summit pic.twitter.com/tqerDgkIwn,1
icann572016,997322235881779201,630,We are here at ICANN 's GDDsummit . We'll update you with any major news! https:// princ.pm/2IiWY96,1
icann572016,997493061184819200,25,.ISOCPR NextGenICANN Application Round for ICANN63 Is Now Open https://www. icann.org/news/announcem ent-2018-05-15-en.Wvt28jWdBWc.twitter via icann,1
icann572016,998231764077367296,491,ICANN does.,1
icann572016,998369326234251264,491,"They might try, but they can't search all of the code themselves",1
icann572016,998386484439846912,491,Neil Young - After The Gold Rush https:// youtu.be/1e3m_T-NMOs via YouTube VisitCA should keep their lawyers,1
icann572016,998535493368336386,157,Our Senior Business Development Specialist - priyankafrias catching up with Lars Jenson from doticu at the GDDIndustrySummit ! GDDSummit2018 ICANN pic.twitter.com/BwlssVll3l,1
icann572016,998544233807138816,157,ICANN what happens to a registrar's status when they manage to drop multiple domain names by accident?,1
icann572016,998569526156546048,157,"22 de mayo: olgacavalli GAC member- ICANN ICANN_es invita al DíaDelInternet DerechoUSMP organiza cgiusmp cc: Maritzayesenia7rdelapar RaquelGatto , Google , elaforde , CesarVilchez CatherineGvh irenevel ernestoam21 ale_conequis Inscríbete: https:// goo.gl/JJ4Ked pic.twitter.com/SVKWVDqwkR",1
icann572016,998752644117090306,736,Opening ceremony Kenya ICTweek2018 CA_Kenya MoICTKenya ICANN pic.twitter.com/re4aovPUQl,1
icann572016,998759925126922240,491,The ICANN Address Supporting Organisation is explained to RIPE76 participants by koalafil icannatlarge in Marseille pic.twitter.com/qIzGQyNFzO,1
icann572016,1000042024425459713,726,Stand for a better internet community InternetGovernance - Sign the Petition! https:// chn.ge/2wFTqbw via Change Computer & Cybercrimes Bill Kenya is now law internetsociety ISOC_NextGen ICANN KICTANet,1
icann572016,1000061155149340672,726,RIPE76 icannatlarge community participants with RIPE_NCC Managing Director axelpawlik SebBach bassiegos ICANN pic.twitter.com/CiytvbdAN3,1
icann572016,1000166707871313920,166,ICANN Announces DENIC eG as New ICANN-Designated Agent to Support Registrar Data Escrow Services https://www. icann.org/news/announcem ent-3-2018-05-15-en.WvwlSNzhCic.twitter via icann domains,1
icann572016,1000740156897447936,582,"NextGenICANN Fellowship/Ambassador Program for ICANN63 Meeting in Barcelona, Spain (Fully Funded) ICANN Africa https:// goo.gl/9QLvsQ pic.twitter.com/S0V99Sa4Tz",1
icann572016,1002073775528140800,541,Great! denic_de is the first European neutral cost escrow provider for ICANN. Time to make the switch for our customers and escrow the data in the EU. Thanks ICANN https://www. icann.org/news/announcem ent-3-2018-05-15-en,1
icann572016,1002539371856158721,529,.NCUC joins UNESCO to co host panel on Multistakeholder model at RIghtsCon ICANN board member Matt Shears speaking now. pic.twitter.com/lrDPTg2A7x,1
icann572016,1002625781053448193,105,Saludo de Inkmedia por el DiaDeInternet que celebraremos en USMPDerecho ! Greatings from Inkmedia to the Faculty of Law USMPDerecho ! Much appreciated! cc: ISOCCanada ICANNAtLarge ICANN ICANN_es ernestoam21 https:// twitter.com/USMPDerecho/st atus/996781182909079553,1
icann572016,1006155943795707904,224,ICANN SWAT team breaking in GTA,1
icann572016,1006567356766806016,355,what city?,1
icann572016,1006731764537155584,151,Neustar's TonyPKirsch talking dotbrands at the GDDSummit ICANN ICANN pic.twitter.com/3cru8hcJtK,1
icann572016,1006802694516994049,105,Are CRE tenants in PlayaVista driven solely by lower rents? $ GOOG $ FB $ EA TOMS USC LoyolaMarymount Yahoo WeWork TBWAChiatLA $ VZ TMZ PlayStation $ RUBI YouTubeSpaceLA 72andSunny AnnenbergPets ICANN belkin Honest $ IMAX calpizzakitchen FOXSports $ MSFT DeutschInc https:// twitter.com/datoomey/statu s/996949922279706624,1
icann572016,1007000774306562050,157,"RT ICANN : The multistakeholder model is not dying, it needs to evolve ICANN Board member Matthew Shears at ICANN 's NCUC co-hosted panel with UNESCO discussing the multistakeholder model at Rightscon ! More Information>> https:// go.icann.org/2IngkGc pic.twitter.com/pnUNFLTxgc",1
icann572016,1007422705388478465,717,Discussing the multistakeholder model of ICANN with EURALO chair Olivier_CL from ICANNAtLarge at ripemeeting RIPE76 pic.twitter.com/Mpw0kbqTXI,1
icann572016,1009910747940306944,200,Mayor_01 TheOliverStone kcshood Kabaka20 ICANN,1
icann572016,1010643855207567360,604,"Celebramos el DiadeInternet con el nuevo dominio .APP, ya son más de 200.000 dominios registrados, más info en nuestro blog ! https:// bit.ly/2rPOKKz apps app dominioapp appdomain ngtld ngtlds android iPhone ipad IOS google mac apple Felizjueves Google icann pic.twitter.com/ZhSmj0rBVe",1
icann572016,1010645540193779712,604,"Even though my account is paid, not only won't ICANN not let me access my web page, startlogic won't help either",1
icann572016,1010645993421824001,604,"Don't forget about Public Interest Registry’s Beth Bacon's discussion today on Registration Data Services (WHOIS) access post GDPR at the ICANN GDDIndustrySummit at 9am PDT. If you can’t be there in person, tune in live online: https:// participate.icann.org/gddsummit-rich mond/",1
icann572016,1010647259514486784,604,"NextGenICANN Fellowship /Ambassador Program For ICANN63 Meeting In Barcelona, Spain (Fully Funded) Application Deadline- 22 June 2018, 11:59pm.- https:// bit.ly/2IwnZlo ICANN pic.twitter.com/98w9f7DLhj",1
icann572016,1010648163433058304,604,The road to Indian languages on the Net goes through Universal Acceptance https://www. moneycontrol.com//news/technolo gy/experts-organisations-come-together-to-build-indian-language-internet-2570653.html uasg icann,1
icann572016,1010648589947711489,604,News Review UPDATE: All ICANN GDD Industry Summit 2018 Sessions Recordings http://www. domainmondo.com/2018/05/news-r eview-as-gdpr-deadline-looms-is.html ICANN domains DomainNames WHOIS domain trademark DataProtection privacy EU_EDPS GDPR ICANN pic.twitter.com/O1jnTO7KaL,1
icann572016,1010649644307603457,604,icann can i scepter on this onesceeeni double speakni,1
icann572016,1010650240699924480,604,"Está disponible la página de la reunión ICANN62 en PanamaCity ICANN ICANN_es Si quieres información del lugar del evento, de hoteles cercanos o de la ciudad. Entra ya: http:// ow.ly/f9rO30jZWnT pic.twitter.com/8gICJh5LgX",1
icann572016,1010650994907099136,604,The ICANN board has voted on a temporary policy for Whois https://www. icann.org/resources/page s/gtld-registration-data-specs-en,1
icann572016,1010652103553925120,604,May 17 WHOIS & GDPR Update: ICANN Board Approves Temporary Spec for gTLD Reg Data http://www. domainmondo.com/2018/05/news-r eview-as-gdpr-deadline-looms-is.html ICANN domains DomainNames trademark domain NetGov ICANN62 ICANN dataprotection privacy EU_EDPS GDPR pic.twitter.com/Ri1bD9j69V,1
icann572016,1010653050942308352,604,GDPR ICANN Board Approves Temporary Specification for gTLD Registration Data https://www. icann.org/news/announcem ent-2018-05-17-en.Wv5MQoVD16o.twitter via icann,1
icann572016,1010653371806568449,604,and the originating pdp is ...,1
icann572016,1010653592544411648,604,"Bonjour ICANN , quand seront disponibles les noms de domaine en .cuck je vous prie ? Sincèrement",1
icann572016,1010653954848354304,604,Des milliers de registres Internet et de bureaux d'enregistrement disposeront d'une semaine pour réorganiser leurs bases de données clients afin de les adapter à une politique en cours de développement ?!?! http:// ow.ly/4BXZ30k3y1l NIC_Senegal ICANN GDPR,1
icann572016,1010654413193502720,604,"Meilleures pratiques pour le développement des startup par Pierre DANDJINOU: Les jeunes doivent se demander Quels sont les Talents, les compétences dont ils disposent. BeninStartUpWeek ICANN AurelieASZ Aigleroyal229 YaliTeam229",1
icann572016,1010654919299235840,604,"Il faut avoir du Financement local, promouvoir le consommons Local et développer notre avantage comparatif pour un environnement prospère des Startup BeninStartUpWeek ICANN AurelieASZ wasexo Aigleroyal229",1
icann572016,1010655616400932864,604,GDPR is coming (after WHOIS). Interesting panel looking at ICANN preparations (or lack thereof) and potential consequences https:// rightscon2018.sched.com/mobile/sessio n:a287dd3d76f6c44688a25fe7a84fb174 RightsCon2018 pic.twitter.com/uuZ1Ls5YQN,1
icann572016,1010656117427277824,604,.ICANN ’s Eleeza Agopian speaking on GDPR panel at RightsCon2018 . Discussion ongoing in 206C. ICANN Photo Credit: Glenn McKnight pic.twitter.com/DkgXi4pYmj,1
icann572016,1010656679468281857,604,"Really interesting, learning a lot, and for the first time hearing disagreements and contention on a RightsCon panel: GDPR is Coming (after WHOIS) with miltonmueller avri ICANN LevineJonathan enoss how5 evagopian http:// sched.co/EHmY RightsCon RightsCon",1
icann572016,1010657294038679552,604,"i Love .cam. it's so close to being .com, the domains ought to catch on as valuable sometime soon",1
icann572016,1010658068856619008,604,Who is the youngest?,1
icann572016,1010658796824215552,604,"ICANN Outreach Program in Mumbai on May 22, 2018 ICANN and its Multi-Stakeholder Model by Samiran01 Head of India ICANN StartupCafe ICANN WeWork DomainKhanServerGuy pic.twitter.com/CBnV1T2edl",1
icann572016,1010658889333858304,604,RT theGCSC : Cyberstability Hearings of the Global Commission on the Stability of Cyberspace following GLOBSEC2018 conference Bratislava GoodIdeaSlovakia internet cybersecurity technology Innovations cyberstability GLOBSEC ICANN CENTRnews pic.twitter.com/NBA5AKEueB,1
icann572016,1010873719340847105,90,RT theGCSC : CarlBildt : “We have GDPR revolution sweeping the world . EU regulation of global impact . Cyberstability Hearings of the Global Commission on the Stability of Cyberspace following GLOBSEC2018 GoodIdeaSlovakia cybersecurity GLOBSEC ICANN CENTRnews pic.twitter.com/kUZOTCBCBM,1
icann572016,1010946030861365249,604,"RT theGCSC : CarlBildt : “NuclearWeapons are extremely expensive to built. However, Cyber weapons are available to wide range of players.” Global Commission on the Stability of Cyberspace following GLOBSEC2018 GoodIdeaSlovakia cybersecurity GLOBSEC ICANN CENTRnews",1
icann572016,1011018721870172162,726,RT theGCSC : ElanaBroitman NewAmerica : International Security Architecture for Cyberspace —Cyberstability Hearings of the Global Commission on the Stability of Cyberspace following GLOBSEC2018 GoodIdeaSlovakia cybersecurity GLOBSEC ICANN CENTRnews pic.twitter.com/4pvol0zxh2,1
icann572016,1011024335107223554,166,RT theGCSC : UN RenataDwan UNIDIR UN Institute for Disarmament Research on Cyberstability Hearings of the Global Commission on the Stability of Cyberspace following GLOBSEC2018 GoodIdeaSlovakia cybersecurity GLOBSEC ICANN CENTRnews pic.twitter.com/f6uaYUAykP,1
icann572016,1011038923794145280,677,"La langue est souvent un frein aux activités de ICANN . Montrer que tout le monde, doit et peut prendre part aux débats en rapport avec le développement d'Internet reste un véritable challenge à relever. GouvInternet Afrique https:// twitter.com/Intell_Afrique s/status/997031411214372864",1
